[2020-10-09 23:36:52+00:00; jrguzzofatos; O cargo de presidente do Poder Judiciário foi criado pouco a pouco e serve p/ dar ao seu ocupante a tarefa de realmente mandar no STF e, por tabela, no resto do sistema de Justiça do país. Este presidente do Judiciário é o ministro Gilmar Mendes https://t.co/ow9dfaHU96; 184; 547; 2563; 55; https://twitter.com/jrguzzofatos/status/1314711458245160960; None; None] 
[2020-10-07 22:47:30+00:00; jrguzzofatos; Bolsonaro disse que acabou com a Lava Jato porque não há corrupção em seu governo.  E desde quando a Lava Jato investiga o seu governo? Além disso, ele não pode “acabar” com uma investigação judicial. O dr. Kassio  e seu plágio estão realmente perturbando o presidente.; 2125; 1645; 11867; 212; https://twitter.com/jrguzzofatos/status/1313974257299402755; None; None] 
[2020-10-05 14:00:07+00:00; jrguzzofatos; @LucianaACBarros Cara LUCIANA Exatamente !; 1; 0; 16; 0; https://twitter.com/jrguzzofatos/status/1313116761961758734; None; None] 
[2020-10-05 00:35:47+00:00; jrguzzofatos; O nome que o presidente Jair Bolsonaro indicou para a vaga aberta no Supremo Tribunal Federal tem todos os requisitos para ser a pior de todas as decisões que tomou no seu governo https://t.co/OfS7DWbRsL; 961; 949; 7419; 135; https://twitter.com/jrguzzofatos/status/1312914345974804484; None; None] 
[2020-10-02 23:39:32+00:00; jrguzzofatos; Fica difícil perceber como o PT e Lula pretendem exercer um papel decisivo no futuro do Brasil se em São Paulo 99% da população não quer saber deles https://t.co/L6l8ZZJDEO; 118; 571; 3160; 13; https://twitter.com/jrguzzofatos/status/1312175413611753472; None; None] 
[2020-10-01 17:38:07+00:00; jrguzzofatos; @Amoris Sim, vamos aguardar... 😊😊😊; 10; 4; 66; 0; https://twitter.com/jrguzzofatos/status/1311722071811121158; None; None] 
[2020-10-01 17:35:47+00:00; jrguzzofatos; @simaobacamart Observação anotada... Geato; 2; 2; 12; 0; https://twitter.com/jrguzzofatos/status/1311721484260454401; None; None] 
[2020-10-01 17:34:21+00:00; jrguzzofatos; @JotaMErre TOMARA ... 🤗🤗🤗; 0; 3; 5; 0; https://twitter.com/jrguzzofatos/status/1311721126565941248; None; None] 
[2020-10-01 17:33:57+00:00; jrguzzofatos; @valter_moraiis Vamos aguardar, claro.  Se essa história não for adiante, tudo bem. 🤗🤗🤗; 20; 12; 261; 0; https://twitter.com/jrguzzofatos/status/1311721026053701633; None; None] 
[2020-10-01 16:25:03+00:00; jrguzzofatos; O nome que se anuncia como o preferido de Bolsonaro para ocupar a vaga aberta no Supremo é uma calamidade perfeita —  só atende ao interesse pessoal dele mesmo, à ladroagem do centrão, aos Toffolis, Gilmares, Lewandovskis &amp; Cia., à esquerda em geral e aos inimigos da Lava Jato.; 1346; 3621; 19073; 457; https://twitter.com/jrguzzofatos/status/1311703685131632640; None; None] 
[2020-09-29 13:28:46+00:00; jrguzzofatos; @LucianaACBarros Cara Luciana, mais uma vez obrigado. É isso mesmo: nunca antes na história desse país ... etc etc etc 🥰; 1; 6; 33; 0; https://twitter.com/jrguzzofatos/status/1310934546242768902; None; None] 
