[2020-03-26 12:12:38+00:00; JesseSouzaecht; Vamos nos manter bem informados durante a quarentena? Estreia hoje O Fura Bolha com @carlajimenez9 @florestanjr @blogdopannunzio é @eduardomoreira https://t.co/fKkAPn1dxn; 7; 63; 225; 1; https://twitter.com/JesseSouzaecht/status/1243148854427516929; None; None]
[2020-03-24 19:30:04+00:00; JesseSouzaecht; A delação de EIke Batista escancara a real corrupção que é a feita pelo mercado, pelos bancos e pelos proprietários. Agora a questão é saber se existe alguém ou alguma instituição com coragem o bastante para “melindrar” este povo.; 16; 395; 1514; 7; https://twitter.com/JesseSouzaecht/status/1242534165788135441; None; None]
[2020-03-23 20:23:53+00:00; JesseSouzaecht; Só o que explica a perversidade inacreditável de Bolsonaro neste instante é a tentativa de criar uma comoção social generalizada para implantar uma ditadura. Sem uma ditadura, ele e sua família de delinquentes não têm futuro. A partir de agora é ele ou nós!; 96; 1301; 5917; 85; https://twitter.com/JesseSouzaecht/status/1242185317475594249; None; None]
[2020-03-21 22:32:36+00:00; JesseSouzaecht; A terrível conclusão: temos o pior, mais canalha e mais despreparado presidente de todos os tempos no instante mais grave e vulnerável da história brasileira. Esse psicopata, indiferente a qualquer sofrimento, é o grande inimigo do Brasil. Tem que ir embora!; 183; 2671; 11673; 151; https://twitter.com/JesseSouzaecht/status/1241492937126686721; None; None]
[2020-03-21 15:02:17+00:00; JesseSouzaecht; Hoje, primeiro arrastão em supermercado em São Paulo. O desprezo pelo povo de Guedes e do imbecil-presidente vai custar caro e provocar muito sofrimento. Todo brasileiro pobre tem que ter mil reais no bolso para sobreviver agora. O Ódio ao pobre vai destruir o Brasil!; 77; 1287; 5640; 75; https://twitter.com/JesseSouzaecht/status/1241379608991346691; None; None]
[2020-03-20 01:00:59+00:00; JesseSouzaecht; Bolsonaro precisa do ódio, do ressentimento, da mentira para destilar sua ausência de qualquer empatia humana. Ele simplesmente não sabe o que fazer na hora da dor e da solidariedade. Domingo, quando colocou em risco a vida de seus próprios seguidores, Bolsonaro ficou nu.; 42; 877; 3796; 22; https://twitter.com/JesseSouzaecht/status/1240805504366059523; None; None]
[2020-03-16 20:40:00+00:00; JesseSouzaecht; A incrível mediocridade e incompetência deste governo fica óbvia na negação infantil em assumir a catástrofe. Não existe programa econômico, social nem sanitário para combatê-la. Uma dúzia de imbecís, em volta de um psicopata, colocando em risco a vida e o futuro de todos!; 50; 1202; 4466; 48; https://twitter.com/JesseSouzaecht/status/1239652659063336963; None; None]
[2020-03-14 22:13:26+00:00; JesseSouzaecht; O efeito do corona mais imediato na política é enfraquecer o discurso do ódio da extrema-direita. A preservação da vida e a lembrança da morte lembra a todos que a solidariedade é a base da vida social.; 131; 939; 5863; 57; https://twitter.com/JesseSouzaecht/status/1238951397229559809; None; None]
[2020-03-13 13:07:04+00:00; JesseSouzaecht; O que falta mais para prender Dallagnol e sua turma? Conspirou, ao arrepio da lei e escondido dos superiores, com autoridades dos EUA para lesar, pensando no próprio bolso, sob a máscara hipócrita do combate fajuto da corrupção, toda uma sociedade. #aguerracontraobrasil; 125; 1290; 4663; 55; https://twitter.com/JesseSouzaecht/status/1238451514127065089; None; None]
[2020-03-11 19:05:45+00:00; JesseSouzaecht; @sivoneydias Obrigado!; 1; 0; 3; 0; https://twitter.com/JesseSouzaecht/status/1237817000363266048; None; None]
[2020-03-10 07:23:41+00:00; JesseSouzaecht; Meus amigos, este é o link do meu livro novo que acaba de sair. https://t.co/Rd7kHPQbvB; 99; 593; 2368; 41; https://twitter.com/JesseSouzaecht/status/1237277934341238786; None; None]
[2020-03-06 22:22:49+00:00; JesseSouzaecht; Amigos, não percam o vídeo mais recente no meu canal! https://t.co/l3RjEHMq7V #PibinhodoGuedes #PibinhoDoBolsonaro; 1; 37; 112; 2; https://twitter.com/JesseSouzaecht/status/1236054655408406529; None; None]
[2020-03-06 21:30:35+00:00; JesseSouzaecht; O corte do bolsa família, por razões de mera perversidade patológica, a quem mais precisa, mostra o monstro que temos na presidência. Desta vez os EUA se superaram: puseram um chefe de quadrilha asqueroso no maior país latino-americano.; 64; 924; 3663; 30; https://twitter.com/JesseSouzaecht/status/1236041509893521408; None; None]
[2020-02-26 13:24:20+00:00; JesseSouzaecht; O presidente miliciano joga sua cartada final. Seus crimes são tantos que não podem continuar escondidos sem um golpe de estado miliciano/evangélico e militar. Sem reação firme ele e sua quadrilha, como descrevi no meu livro “a guerra contra o Brasil”, vão destruir o Brasil.; 185; 2140; 8699; 122; https://twitter.com/JesseSouzaecht/status/1232657650388742145; None; None]
[2020-02-11 23:27:20+00:00; JesseSouzaecht; Meus amigos, será uma noite inesquecível! Entrada gratuita. Conto com todos vocês lá! #aguerracontraobrasil #jessesouza #aljaniah #livro #teatro https://t.co/DWOka5SuVM; 1; 67; 198; 2; https://twitter.com/JesseSouzaecht/status/1227373585691443200; None; None]
[2020-02-11 11:39:11+00:00; JesseSouzaecht; Amigos, saindo do forno o meu livro novo, com um presente especial para quem comprar na pré venda!  https://t.co/XvPd541lCs; 14; 64; 379; 6; https://twitter.com/JesseSouzaecht/status/1227195370150776833; None; None]
[2020-02-01 00:24:25+00:00; JesseSouzaecht; Vídeo mais recente do meu canal. Confiram, a edição ficou um espetáculo! https://t.co/LaBLuy7TUw; 4; 47; 244; 3; https://twitter.com/JesseSouzaecht/status/1223401684644388870; None; None]
[2020-01-27 20:59:56+00:00; JesseSouzaecht; Terceiro vídeo como prévia de meu novo livro: a guerra contra o Brasil. Por que Moro é o general dos EUA contra o Brasil? https://t.co/EBDqMyBUDm; 12; 156; 500; 4; https://twitter.com/JesseSouzaecht/status/1221900670233731072; None; None]
[2020-01-19 00:08:05+00:00; JesseSouzaecht; https://t.co/V9l996ZLGR.  Primeira prévia sobre meu livro novo: A guerra contra o Brasil. O primeiro tema é o funcionamento do imperialismo americano. Confiram!; 18; 338; 1479; 10; https://twitter.com/JesseSouzaecht/status/1218686528370569216; None; None]
