[2020-02-27 18:56:26+00:00; renansantosmbl; #tbt na França visitando @stelipo e @tommosko . Fotos de @alexandre.hfs 📸; https://www.instagram.com/p/B9FMd7yHMXl/; 611; 6]
[2020-02-26 19:16:48+00:00; renansantosmbl; None; https://www.instagram.com/p/B9CqARjHpVG/; 986; 57]
[2020-02-18 21:06:37+00:00; renansantosmbl; De volta ao batente. Com exército Memeiro.; https://www.instagram.com/p/B8uQNhsncfe/; 954; 34]
[2020-02-14 02:16:36+00:00; renansantosmbl; Aniversário no meio de um bairro X; https://www.instagram.com/p/B8h7tg-nY38/; 1266; 79]
[2020-02-11 14:13:42+00:00; renansantosmbl; Como executar um cerco medieval com sucesso.; https://www.instagram.com/p/B8bfWz4H9qH/; 558; 19]
[2020-02-09 23:16:30+00:00; renansantosmbl; No rolê.; https://www.instagram.com/p/B8XT68fH7nx/; 1203; 30]
[2020-02-08 17:16:53+00:00; renansantosmbl; Amanhã, no canal do @arthurmoledoval . Divulguem!; https://www.instagram.com/p/B8UF-MBnMdv/; 669; 16]
[2020-02-07 23:25:52+00:00; renansantosmbl; Todo desajeitado segurando minha sobrinha Angelina. Parabéns @tommosko e @stelipo; https://www.instagram.com/p/B8SLZ2tHq4P/; 1346; 43]
[2020-02-06 15:28:43+00:00; renansantosmbl; Comemorando a pré-candidatura do @arthurmoledoval no Z-Deli!; https://www.instagram.com/p/B8OwALanQCY/; 1183; 52]
[2020-02-05 01:32:28+00:00; renansantosmbl; Deixa eu explicar: eu tava de meia e o chão era de carpete. Havia uma rampa. Escorreguei . Aí rolou esse tremelique pra ficar de pé!!! 🤣🤣🤣; https://www.instagram.com/p/B8KrXvGnd7s/; 494; 27]
[2020-02-02 00:28:50+00:00; renansantosmbl; Nasceu minha sobrinha, Angelina! Filha da @stelipo com o @tommosko ! Agora sou oficialmente um tiozão do zap. Vou conhecê-la na próxima semana, em Paris, onde minha irmã deu à luz. Pois é fato: tenho uma sobrinha chique, aquariana como eu, nascida na Cidade da Luz, com pai judeu, mãe ecologista e tios golpistas na América do Sul. Acho que ela terá boas histórias pra contar na escola. Bem vinda, Angie!; https://www.instagram.com/p/B8C11xuHbSv/; 844; 60] 
