[2017-12-29 01:11:59+00:00; claudioedantas; Moro: ‘Governo pode muito, mas não pode tudo’ https://t.co/Bn6SUjt6Pt; 0; 15; 47; 0; https://twitter.com/claudioedantas/status/946549324380540928; None; None]
[2017-12-29 01:11:17+00:00; claudioedantas; Tribunal racial na UnB https://t.co/sdjIrJqfn6; 2; 8; 22; 0; https://twitter.com/claudioedantas/status/946549146844057600; None; None]
[2017-12-29 01:10:37+00:00; claudioedantas; ‘Não há motivo para prisão’, diz mãe de brasileiro detido na Venezuela https://t.co/a3uSJgWSxA; 0; 2; 16; 0; https://twitter.com/claudioedantas/status/946548981877833728; None; None]
[2017-12-29 01:09:43+00:00; claudioedantas; ‘O mundo está nos observando’, diz Bretas no Twitter https://t.co/ctJGXpehTA; 4; 10; 61; 1; https://twitter.com/claudioedantas/status/946548754265591808; None; None]
[2017-12-28 21:42:44+00:00; claudioedantas; Boa notícia: rombo nas contas públicas foi de só R$ 909 milhões https://t.co/W98O01LK6j; 1; 6; 21; 0; https://twitter.com/claudioedantas/status/946496662570242049; None; None]
[2017-12-28 21:40:50+00:00; claudioedantas; Tornozeleira eletrônica aparece em cavalo no Paraná https://t.co/YcaTOuIhTU; 15; 46; 105; 6; https://twitter.com/claudioedantas/status/946496184956354560; None; None]
[2017-12-28 21:40:28+00:00; claudioedantas; Governo pode ir ao STF contra decisão do TCU sobre Pampulha https://t.co/qHx0FuY5ba; 0; 1; 7; 0; https://twitter.com/claudioedantas/status/946496094095183872; None; None]
[2017-12-28 21:39:34+00:00; claudioedantas; Força-tarefa da Lava Jato no Rio ganha novo procurador https://t.co/SRNzXHHpwW; 0; 5; 14; 0; https://twitter.com/claudioedantas/status/946495868244516864; None; None]
[2017-12-28 21:39:09+00:00; claudioedantas; Temer desiste de passar fim de ano em base naval no Rio https://t.co/bEAtk7rcXH; 3; 3; 11; 3; https://twitter.com/claudioedantas/status/946495762711613440; None; None]
[2017-12-28 21:34:08+00:00; claudioedantas; Veloso: “Decisão de Cármen está plenamente justificada” https://t.co/CiAWw1bF4p; 1; 8; 39; 0; https://twitter.com/claudioedantas/status/946494498196066305; None; None]
[2017-12-28 20:17:24+00:00; claudioedantas; Quem colocou Temer na enrascada do indulto natalino https://t.co/2GV25vAvhb; 10; 20; 62; 3; https://twitter.com/claudioedantas/status/946475187943432193; None; None]
[2017-12-28 20:16:58+00:00; claudioedantas; Governo quer ‘compensar excluídos’ com suspensão de indulto, diz Torquato Jardim https://t.co/mnOK8vS3E1; 3; 4; 13; 1; https://twitter.com/claudioedantas/status/946475079294226432; None; None]
[2017-12-28 20:16:38+00:00; claudioedantas; Unidas contra Temer https://t.co/YJHzibBp1V; 1; 6; 15; 1; https://twitter.com/claudioedantas/status/946474998495145984; None; None]
[2017-12-28 20:16:13+00:00; claudioedantas; Planalto reconhece desgaste de Temer com suspensão de indulto https://t.co/Y0hMO7WEOG; 7; 36; 87; 5; https://twitter.com/claudioedantas/status/946474890227585024; None; None]
[2017-12-28 19:30:46+00:00; claudioedantas; CÁRMEN LÚCIA: INDULTO NÃO É PRÊMIO, NEM INSTRUMENTO DE IMPUNIDADE https://t.co/uDdMvVHDwV; 1; 27; 69; 2; https://twitter.com/claudioedantas/status/946463454482849793; None; None]
[2017-12-28 19:06:26+00:00; claudioedantas; Curta e compartilhe. 👊 https://t.co/kyZWM0RfkR; 8; 53; 169; 4; https://twitter.com/claudioedantas/status/946457329112899584; None; https://twitter.com/claudioedantas/status/946457076913623041]
