[2019-11-20 17:20:45+00:00; ProfBunazar; Vejam que chamada doentia. “Ficou conhecido por matar fã de Hickmann”. Parece que o sujeito disse: “olha lá, um fã da minha cunhada. Tive uma ideia, vou matá-lo”. Tenham um mínimo de compostura. Vocês vão desaparecer enquanto jornal se não entenderem que há limites na lacração. https://t.co/V2gsnFSvLq; https://twitter.com/ProfBunazar/status/1197203136856936449; None; None]
[2019-11-20 17:16:16+00:00; ProfBunazar; Sabe o que eu não entendo? As aspas!! Ele foi absolvido sumariamente. O bandido tentou matar a cunhada dele e só não o fez porque ele lá estava. Vocês precisam de ajuda. Sério. Nem quando eu faço força para ter alguma empatia vocês colaboram. Pelo amor de Deus. https://t.co/dsLhqgRavH; https://twitter.com/ProfBunazar/status/1197202009327312897; None; https://twitter.com/folha/status/1197143565312417793]
[2019-11-20 17:12:04+00:00; ProfBunazar; @jeffs_araujo35 Cansa cansa cansa; https://twitter.com/ProfBunazar/status/1197200952979316736; None; None]
[2019-11-20 17:07:33+00:00; ProfBunazar; Leiam. É belíssimo. https://t.co/Y0U6C20lIl; https://twitter.com/ProfBunazar/status/1197199815265968129; None; https://twitter.com/jeffs_araujo35/status/1197199341901033472]
[2019-11-20 16:50:18+00:00; ProfBunazar; @sf79 Ok. Abs; https://twitter.com/ProfBunazar/status/1197195473465085952; None; None]
[2019-11-20 16:50:01+00:00; ProfBunazar; @Miltonneves @AnaPaulaVolei Mas o amor é o mesmo. Você é mito; https://twitter.com/ProfBunazar/status/1197195401264324608; None; None]
[2019-11-20 16:17:53+00:00; ProfBunazar; @Miltonneves @AnaPaulaVolei Ana, já que você é amiga do Milton, faço uma reclamação: ele já me fez cair três vezes no gemidão 😂; https://twitter.com/ProfBunazar/status/1197187315409522688; None; None]
[2019-11-20 16:11:52+00:00; ProfBunazar; @MichelePradoBa Cada uma que tenho de aguentar...; https://twitter.com/ProfBunazar/status/1197185802347929602; None; None]
[2019-11-20 15:55:20+00:00; ProfBunazar; @renatastone @madeiradez Obrigado. É muito difícil para mim; https://twitter.com/ProfBunazar/status/1197181639555768320; None; None]
[2019-11-20 15:51:58+00:00; ProfBunazar; @wesleymir @carlavilhenaa Uma vergonha; https://twitter.com/ProfBunazar/status/1197180793333915648; None; None]
[2019-11-20 15:50:53+00:00; ProfBunazar; @paulobaccarat @madeiradez Eu juro que deleto, porque se não eu caio depois; https://twitter.com/ProfBunazar/status/1197180521920573440; None; None]
[2019-11-20 15:43:21+00:00; ProfBunazar; @ivaniltonjr @madeiradez CNJ; https://twitter.com/ProfBunazar/status/1197178627617628160; None; None]
[2019-11-20 15:42:04+00:00; ProfBunazar; @madeiradez Tonto; https://twitter.com/ProfBunazar/status/1197178304513675264; None; None]
[2019-11-20 15:40:31+00:00; ProfBunazar; @zfabrogmailcom Mas quem falou em tutor? Tutor quem precisa é incapaz. Desculpe, mas acho que não entendeu meu tuíte; https://twitter.com/ProfBunazar/status/1197177912165834753; None; None]
[2019-11-20 15:25:11+00:00; ProfBunazar; O racismo é algo abjeto. Dizer que não existe racismo no Brasil é ignorância inescusável ou canalhice deliberada. Recomendo a todos a leitura do “Abolicionismo” do Joaquim Nabuco. Ps. Nem me falem em racismo inverso. Isso é quase tão idiota quanto terra plana.; https://twitter.com/ProfBunazar/status/1197174055306244096; None; None]
[2019-11-20 14:51:16+00:00; ProfBunazar; É fato que jovens negros são as principais vítimas de morte violenta. Evidentemente, isso não significa chamar a polícia de assassina. Nada justifica a atitude violenta, irracional e destemperada do deputado Cel. Tadeu. A conduta covarde e vergonhosa merece dura reprovação.; https://twitter.com/ProfBunazar/status/1197165519520092160; None; None]
[2019-11-20 14:25:17+00:00; ProfBunazar; @juizrafael Ninguém pode xingar ninguém...; https://twitter.com/ProfBunazar/status/1197158979526430720; None; None]
[2019-11-20 12:18:09+00:00; ProfBunazar; @madeiradez @CarolinaMalta Viva a revolução; https://twitter.com/ProfBunazar/status/1197126983408406528; None; None]
