2019-12-05 16:56:28+00:00; miriamleitao; Nesta quinta 21h30 na ⁦@GloboNews⁩ entrevisto o ex-diretor do INPE Ricardo Galvão e o pesquisador do ⁦@Imazon⁩ Paulo Barreto. #COP25 e #Amazonia https://t.co/KCCZJgBJoC; 32; 23; 157; 3; https://twitter.com/miriamleitao/status/1202632845547753472; None; None
2019-12-05 15:04:03+00:00; miriamleitao; Empresários tentam evitar aumento de impostos na reforma tributária.  https://t.co/eMVxprl2qh; 7; 3; 25; 0; https://twitter.com/miriamleitao/status/1202604554732363776; None; None
2019-12-05 15:02:43+00:00; miriamleitao; Reforma da previdência dos militares aprovada é um grande aumento de salários. https://t.co/wkBQPwfsla; 45; 121; 344; 24; https://twitter.com/miriamleitao/status/1202604218005303296; None; None
2019-12-05 11:45:12+00:00; miriamleitao; A economia está com nível de atividade bem diferente dependendo do setor. De 2014 a 2018, a construção caiu 28% e a agropecuária teve alta de 13%.  A coluna:  https://t.co/RgWsiCeZXp; 31; 7; 69; 2; https://twitter.com/miriamleitao/status/1202554510142582785; None; None
2019-12-04 22:27:12+00:00; miriamleitao; @afonsoborges Muito lindo @afonsoborges; 0; 0; 1; 0; https://twitter.com/miriamleitao/status/1202353688972537856; None; None
2019-12-04 20:32:54+00:00; miriamleitao; Bastidores maravilhosos. https://t.co/nyek2sYM4T; 3; 1; 18; 0; https://twitter.com/miriamleitao/status/1202324923634589697; None; https://twitter.com/Mleitaonetto/status/1201868964093140993
2019-12-04 19:47:49+00:00; miriamleitao; Erro no cálculo da exportação não compromete os dados do PIB. https://t.co/bIO34i41rE; 15; 2; 40; 3; https://twitter.com/miriamleitao/status/1202313576322600962; None; None
2019-12-04 14:17:14+00:00; miriamleitao; O crescimento que falta para anular as perdas da recessão.  https://t.co/hmHk1l6XnM; 18; 1; 32; 1; https://twitter.com/miriamleitao/status/1202230383074562048; None; None
2019-12-04 11:53:20+00:00; miriamleitao; PIB de um trimestre pode ser recuperado, uma geração perdida na educação, não. Manter o ministro Weintraub é continuar errando na área.  A coluna: https://t.co/4JzF2n3j0p; 536; 246; 2186; 57; https://twitter.com/miriamleitao/status/1202194172180148224; None; None
2019-12-03 22:34:12+00:00; miriamleitao; Relator eleva em R$ 20,6 bi as despesas do Orçamento e sobe fundo eleitoral para R$ 3,8 bilhões.   https://t.co/WWSxxgQwzn; 26; 14; 63; 3; https://twitter.com/miriamleitao/status/1201993061728997377; None; None
2019-12-03 14:00:26+00:00; miriamleitao; Avaliação revela que país está estagnado entre os piores na Educação e gestão atual não dá esperança de que os dados vão melhorar.  https://t.co/OLA4VyFyka; 271; 136; 806; 25; https://twitter.com/miriamleitao/status/1201863766394232833; None; None
2019-12-03 11:49:29+00:00; miriamleitao; O ataque de Trump ao Brasil é um choque de realidade para o governo Bolsonaro. Países têm interesses, e não amigos ideológicos.  A coluna: https://t.co/NMnsSmLDKt; 173; 290; 2275; 28; https://twitter.com/miriamleitao/status/1201830814071296000; None; None
2019-12-02 18:53:34+00:00; miriamleitao; Brasil chega na defensiva à Cúpula do Clima, mas ministro acha que pode exigir dinheiro de outros participantes.  https://t.co/LdctvcNx8P; 27; 5; 57; 1; https://twitter.com/miriamleitao/status/1201575150254247940; None; None
2019-12-02 13:44:56+00:00; miriamleitao; O presidente Donald Trump continua a sua campanha de desinformação. https://t.co/dCRpStVlXv; 40; 15; 182; 3; https://twitter.com/miriamleitao/status/1201497479923032066; None; None
2019-12-01 22:34:48+00:00; miriamleitao; Ansiosa pra ler querida @clarafavilla https://t.co/UkRYeTIiKE; 9; 1; 23; 0; https://twitter.com/miriamleitao/status/1201268436338462726; None; https://twitter.com/clarafavilla/status/1201212539238961152
2019-11-28 23:33:37+00:00; miriamleitao; Daqui a pouco na @GloboNews , às 21h30, entrevista com Samuel Pessoa e Manoel Pires, sobre o momento atual da economia. https://t.co/It4NDUotCM; 34; 1; 44; 2; https://twitter.com/miriamleitao/status/1200196076462104576; None; None
2019-11-28 23:22:19+00:00; miriamleitao; Com ⁦@abranches⁩ na festa do #Jabuti os dois finalistas. https://t.co/YY7UjgmglC; 41; 7; 377; 1; https://twitter.com/miriamleitao/status/1200193230270353410; None; None
2019-11-28 14:28:27+00:00; miriamleitao; Banco Central jogou a toalha ao criar nova tarifa para baixar juros do cheque especial. Comentário na CBN.   https://t.co/TVXVmsCUGS; 20; 2; 36; 2; https://twitter.com/miriamleitao/status/1200058878630780931; None; None
2019-11-28 14:27:55+00:00; miriamleitao; Bancos poderão ganhar mais com a nova tarifa sobre o cheque especial. Comentário no Bom Dia Brasil.   https://t.co/i0sEIk5bpw; 30; 14; 71; 6; https://twitter.com/miriamleitao/status/1200058743196672000; None; None
2019-11-28 14:26:12+00:00; miriamleitao; Governo liberal tabela juros do cheque especial. A coluna de hoje no Globo.   https://t.co/FeTM2olXGw; 21; 5; 42; 2; https://twitter.com/miriamleitao/status/1200058312517140482; None; None
2019-11-27 14:54:41+00:00; miriamleitao; Eu também agradeço e fico feliz por estar ao seu lado https://t.co/5hdTDmmWAI; 15; 2; 87; 2; https://twitter.com/miriamleitao/status/1199703091723026432; None; https://twitter.com/realsardenberg/status/1199544127450423296
2019-11-27 14:00:14+00:00; miriamleitao; Alta do dólar tem efeito imediato sobre remédios e combustíveis. Comentário no @BomDiaBrasil .   https://t.co/q1NKhGbeRF; 35; 22; 115; 3; https://twitter.com/miriamleitao/status/1199689391242919938; None; None
2019-11-27 13:58:47+00:00; miriamleitao; Guedes uniu a economia à ala sombria do poder. Coluna de hoje no @JornalOGlobo .    https://t.co/6LSYUiTMwE; 118; 57; 467; 19; https://twitter.com/miriamleitao/status/1199689024337842177; None; None
2019-11-26 16:59:28+00:00; miriamleitao; Mercado cambial reagiu à fala do ministro Paulo Guedes.   https://t.co/egCTKBg0GA; 69; 30; 161; 6; https://twitter.com/miriamleitao/status/1199372107408384002; None; None
2019-11-26 15:27:47+00:00; miriamleitao; Violência contra a mulher nasce da ideia absurda de submissão ao homem. Comentário na CBN.   https://t.co/dJPrCIB4Fr; 18; 13; 88; 1; https://twitter.com/miriamleitao/status/1199349036026757122; None; None
2019-11-26 14:33:24+00:00; miriamleitao; A coluna de hoje no Globo, sobre a alta do dólar.  https://t.co/gy6BbKf2K9; 21; 3; 34; 0; https://twitter.com/miriamleitao/status/1199335349035470850; None; None
2019-11-26 03:56:23+00:00; miriamleitao; @flaviaol @jornaldacbn @JornalistaseCia @realsardenberg @joaoborges Ah, você notou???; 4; 1; 19; 0; https://twitter.com/miriamleitao/status/1199175038425063424; None; None
2019-11-25 20:52:31+00:00; miriamleitao; Vista de dentro da torcida em Lima 👇🏽 https://t.co/XY9hcHcNHv; 7; 2; 29; 0; https://twitter.com/miriamleitao/status/1199068369393258496; None; https://twitter.com/Mleitaonetto/status/1199066997486739456
2019-11-25 20:02:54+00:00; miriamleitao; Querido @joaoborges estamos juntos. Sempre. https://t.co/I0MNe2xp5E; 10; 6; 61; 0; https://twitter.com/miriamleitao/status/1199055882614644738; None; https://twitter.com/joaoborges/status/1199031765521883140
2019-11-25 19:13:51+00:00; miriamleitao; @pedromeletti @miltonjung @cassiagodoy @Guilherme_Dogo @realsardenberg @joaoborges obrigada @pedromeletti; 0; 0; 2; 0; https://twitter.com/miriamleitao/status/1199043539117780993; None; None
2019-11-25 17:09:27+00:00; miriamleitao; Equipe da querida ⁦@CBNoficial⁩ na premiação dos mais admirados https://t.co/L2CAskQGmQ; 24; 2; 128; 2; https://twitter.com/miriamleitao/status/1199012232442630144; None; None
2019-11-25 10:25:45+00:00; miriamleitao; obrigada @camposmello muito obrigada mesmo https://t.co/grbi3LVdzL; 7; 3; 69; 2; https://twitter.com/miriamleitao/status/1198910638988374016; None; https://twitter.com/camposmello/status/1198251534498385920
2019-11-24 01:58:57+00:00; miriamleitao; inimaginável. está lá pelas ruas gritando Gracias Lima https://t.co/FuIq2WkuwH; 4; 1; 54; 0; https://twitter.com/miriamleitao/status/1198420710730928129; None; https://twitter.com/Marleneas/status/1198376802370105344
2019-11-24 01:57:54+00:00; miriamleitao; Temos tanto em comum. Uma amizade tão boa. E temos também o Mengo ❤️🖤 https://t.co/mWJhpcSdUk; 5; 5; 168; 0; https://twitter.com/miriamleitao/status/1198420447433515008; None; https://twitter.com/luliguimaraes/status/1198368280467189762
2019-11-23 22:28:30+00:00; miriamleitao; E esse sorriso avisa que veio para ficar. Libertadores!!!!!🖤❤️🖤❤️🖤❤️ https://t.co/EKRSiHXGU5; 273; 209; 5513; 38; https://twitter.com/miriamleitao/status/1198367747513757696; None; None
2019-11-23 12:40:41+00:00; miriamleitao; O pior efeito da crise é a piora das fraturas étnicas em um país marcado. https://t.co/rniSSezczF; 20; 7; 80; 0; https://twitter.com/miriamleitao/status/1198219821076406272; None; None
2019-11-23 03:03:55+00:00; miriamleitao; Maravilha ir na LER Salão Carioca do Livro com ⁦@abranches⁩ falar dos livros cuja paixão compartilhamos. Aproveitem o Finde para ir à LER https://t.co/odvoTKXpFV; 10; 2; 64; 1; https://twitter.com/miriamleitao/status/1198074669615718400; None; None
2019-11-22 17:32:04+00:00; miriamleitao; Sim, é lindo @clarafavilla https://t.co/R78PqCSi5h; 5; 0; 13; 0; https://twitter.com/miriamleitao/status/1197930759409020928; None; https://twitter.com/clarafavilla/status/1197653662551695361
2019-11-22 17:26:27+00:00; miriamleitao; A semana: voto confuso de Toffoli, alta do desmatamento e queda do déficit público.  https://t.co/7jSSVL4f28; 3; 2; 37; 1; https://twitter.com/miriamleitao/status/1197929345463078917; None; None
2019-11-22 17:25:52+00:00; miriamleitao; Há sinais de que o ano de 2020 pode ser melhor na economia.  https://t.co/I6LNBsIdRn; 522; 25; 275; 88; https://twitter.com/miriamleitao/status/1197929201854242818; None; None
2019-11-22 01:21:57+00:00; miriamleitao; Obrigada @Josie_Melo que bom contar com você https://t.co/NASI1it4Qe; 11; 2; 47; 0; https://twitter.com/miriamleitao/status/1197686623674257410; None; https://twitter.com/Josie_Melo/status/1197681120936153095
2019-11-22 00:27:25+00:00; miriamleitao; Ja vai começar a conversa sobre literatura com duas maravilhosas escritoras Eliana Alves Cruz e Conceição Evaristo. Na ⁦@GloboNews⁩ https://t.co/gsrxwoqjw0; 14; 8; 185; 1; https://twitter.com/miriamleitao/status/1197672898858799104; None; None
2019-11-21 20:30:20+00:00; miriamleitao; Na semana da consciência negra, em dias do LER Salão Carioca do Livro fiz um programa para falar de literatura com Conceição Evaristo e Eliana Alves Cruz. Adorei. Nesta quinta 21h30 na ⁦@GloboNews⁩ https://t.co/s2rrsoUaFt; 40; 26; 311; 6; https://twitter.com/miriamleitao/status/1197613233827434497; None; None
2019-11-21 18:01:32+00:00; miriamleitao; @brenda_brito Obrigada @brenda_brito; 0; 0; 1; 0; https://twitter.com/miriamleitao/status/1197575786548670465; None; None
2019-11-21 15:07:36+00:00; miriamleitao; Ministros do STF esperam que Toffoli explique o voto.  https://t.co/McD9iloLiI; 29; 2; 45; 3; https://twitter.com/miriamleitao/status/1197532015677054977; None; None
2019-11-21 14:26:14+00:00; miriamleitao; Nova York aprova lei proibindo que empresas comprem de área desmatada da Amazônia. https://t.co/S3qh2aeRcf; 130; 371; 2181; 49; https://twitter.com/miriamleitao/status/1197521605095759872; None; None
2019-11-21 01:43:37+00:00; miriamleitao; Onde estão os negros? | Blog Pela Lente da Gente da competente ⁦@AlineMidlej⁩ | G1 https://t.co/pslEgWJHo3; 40; 19; 178; 4; https://twitter.com/miriamleitao/status/1197329689100115968; None; None
2019-11-20 22:37:00+00:00; miriamleitao; Obrigada @afonsoborges https://t.co/NPbwcy4Tol; 16; 9; 69; 0; https://twitter.com/miriamleitao/status/1197282723372642304; None; https://twitter.com/afonsoborges/status/1197276001924976640
2019-11-20 21:35:13+00:00; miriamleitao; Excelente entrevista da maravilhosa Cida Bento do @CeertOrg https://t.co/8zBeFzKX9K; 9; 5; 41; 0; https://twitter.com/miriamleitao/status/1197267173703639040; None; https://twitter.com/Mleitaonetto/status/1197239600646938627
2019-11-20 12:16:18+00:00; miriamleitao; O racismo permanece visível nos dados e nos fatos da cena pública brasileira, mas nas últimas duas décadas houve avanços. É persistir no caminho da inclusão. https://t.co/EuFHNUW1fe; 65; 38; 359; 7; https://twitter.com/miriamleitao/status/1197126520285925377; None; None
2019-11-19 19:30:33+00:00; miriamleitao; Mais uma animação da série Economia é Fácil, entenda por que o dólar sobe no Brasil, no blog por @alvarogribel .  https://t.co/hHKdRYk2k7; 31; 1; 45; 1; https://twitter.com/miriamleitao/status/1196873414528638978; None; None
