[2020-11-29 20:38:30+00:00; RenanSantosMBL; Urnas abertas e, aparentemente, vai dar pra cravar o óbvio: Boulos tem menos do que as pesquisas mostram.  Sua ida ao segundo turno foi toda construída nessa mentira. E no apoio da imprensa, claro.; 42; 40; 920; 5; https://twitter.com/RenanSantosMBL/status/1333148350322012161; None; None]
[2020-11-29 16:41:42+00:00; RenanSantosMBL; Se você pretende ser jornalista PROFISSIONAL®, você vota no PSOL.; 18; 14; 463; 0; https://twitter.com/RenanSantosMBL/status/1333088760729309186; None; None]
[2020-11-28 21:51:35+00:00; RenanSantosMBL; Jornalismo profissional trabalhando aquela torcida e consultoria básica às vésperas da eleição. https://t.co/63wROSpKY5; 16; 15; 475; 4; https://twitter.com/RenanSantosMBL/status/1332804357415432194; None; None]
[2020-11-27 19:30:28+00:00; RenanSantosMBL; A modelo aí é mais uma Mari Ferrer, que na prática é mais uma Nágila Trindade.   Falsa acusação de estupro virou mato.   https://t.co/Eut9WFAUUU; 11; 12; 204; 2; https://twitter.com/RenanSantosMBL/status/1332406455757107200; None; None]
[2020-11-27 16:38:14+00:00; RenanSantosMBL; Grupo Folha em modo campanha. https://t.co/olkhJjWBpc; 8; 12; 321; 2; https://twitter.com/RenanSantosMBL/status/1332363112457138177; None; None]
[2020-11-27 15:35:48+00:00; RenanSantosMBL; Sorte que temos um ministro liberal como Paulo Guedes pra impedir essas coisas! https://t.co/bnXvJqe7DW; 4; 9; 133; 1; https://twitter.com/RenanSantosMBL/status/1332347400493600768; None; None]
[2020-11-27 15:16:06+00:00; RenanSantosMBL; Se você não é um candidato do “jogo” ou queridinho da imprensa, tem que fazer campanha e ganhar corpo muito antes das eleições, para que os institutos não te sabotem. É regra geral.; 12; 15; 393; 1; https://twitter.com/RenanSantosMBL/status/1332342440494321665; None; None]
[2020-11-27 15:13:50+00:00; RenanSantosMBL; “Ah, mas captou o momento”. Arthur é o segundo deputado estadual mais votado de São Paulo. Ele NUNCA teve menos votos que esses dois. É absolutamente impossível.   Ou os institutos de pesquisa são tocados por macacos treinados, ou agem de má-fé.; 9; 7; 240; 0; https://twitter.com/RenanSantosMBL/status/1332341871654428672; None; None]
[2020-11-27 15:12:20+00:00; RenanSantosMBL; Faltando menos de um mês para as eleições, o IBOPE colocava Vera Lúcia do PSTU e Antônio Carlos do PCO na frente de Arthur do Val.  Quando as urnas abriram, estes dois tiveram 3052 e 630 votos, respectivamente. Arthur teve meio milhão.  Erro nas pesquisas?; 28; 16; 515; 1; https://twitter.com/RenanSantosMBL/status/1332341494464843778; None; None]
[2020-11-27 02:00:56+00:00; RenanSantosMBL; @aguedescartoon @VillaMarcovilla Expulso com desonra, obtuso, preguiçoso; 4; 0; 66; 0; https://twitter.com/RenanSantosMBL/status/1332142331726852097; None; None]
[2020-11-26 16:04:46+00:00; RenanSantosMBL; Checando os projetos culturais aprovados pelo Governo Dória é Covas, da pra cravar: o PSDB financia o Boulos e sua Entourage.  Tem mais é que se foder.; 14; 9; 260; 4; https://twitter.com/RenanSantosMBL/status/1331992301359525890; None; None]
[2020-11-24 18:56:44+00:00; RenanSantosMBL; O nível de cara de pau ultrapassa qualquer limite. https://t.co/ZJzPNfPhED; 9; 5; 197; 1; https://twitter.com/RenanSantosMBL/status/1331310803761438728; None; https://twitter.com/secomvc/status/1331009670232858629]
[2020-11-24 18:07:58+00:00; RenanSantosMBL; Felipe Neto chamou o MBL de “quinta série”. Decerto nos confundiu com seus seguidores. Logo mais chega um pacote de produtos vagabundos dele por aqui.; 12; 16; 592; 0; https://twitter.com/RenanSantosMBL/status/1331298530670112778; None; None]
