[2020-11-17 19:48:17+00:00; gduvivier; Falta muito pouco pra chegarmos na meta! Já estamos em 90%. Já contribuiu? https://t.co/LwU06O0Nnb; 9; 50; 435; 5; https://twitter.com/gduvivier/status/1328787061298655240; None; None] 
[2020-11-17 18:16:41+00:00; gduvivier; Escrevi pra Piauí desse mês um texto sobre o Quino. E pro Quino. E pra todo o mundo que, como eu, teve a vida iluminada por ele.  https://t.co/jE5y4C4W3d; 16; 21; 588; 6; https://twitter.com/gduvivier/status/1328764009483526151; None; None] 
[2020-11-16 23:42:44+00:00; gduvivier; Excelente thread https://t.co/uUOhwMLTML; 32; 552; 4832; 47; https://twitter.com/gduvivier/status/1328483675722428417; None; https://twitter.com/BR0ONO/status/1328437050002055169] 
[2020-11-16 22:21:08+00:00; gduvivier; Imperdivel! https://t.co/ScoqcQGwRk; 4; 11; 395; 3; https://twitter.com/gduvivier/status/1328463139629895681; None; https://twitter.com/rodaviva/status/1328444493188780032] 
[2020-11-16 20:23:21+00:00; gduvivier; @JoelPinheiro85 faz uma live com @GuilhermeBoulos!; 23; 5; 770; 0; https://twitter.com/gduvivier/status/1328433499251085312; None; None] 
[2020-11-16 16:43:30+00:00; gduvivier; Sabe quando você ouve seu tio racista falar e diz: de onde é que ele tira isso? Então, é de alguém que copiou do Breitbart. Assista ao episódio SIGA A GRANA: https://t.co/EggssY1VRX https://t.co/fIvRrLi9zf; 18; 65; 825; 4; https://twitter.com/gduvivier/status/1328378172044419072; None; None] 
[2020-11-16 15:55:55+00:00; gduvivier; @JoanaMortagua @carmoafonso Lembro bem! Advogada do meu amigo Joao Quadros; 4; 0; 13; 0; https://twitter.com/gduvivier/status/1328366193753853952; None; None] 
[2020-11-16 15:45:32+00:00; gduvivier; @jotamarquesrj Parabéns, meu amigo. Linda campanha.; 0; 1; 58; 0; https://twitter.com/gduvivier/status/1328363582979977218; None; None] 
[2020-11-16 14:44:38+00:00; gduvivier; SOC - SÍNDROME DA ONOMATOPEIA CORPORAL! https://t.co/XDfZXjWGpl; 4; 1; 71; 0; https://twitter.com/gduvivier/status/1328348255676215296; None; None] 
[2020-11-16 14:00:42+00:00; gduvivier; @LaerteCoutinho1 @Haddad_Fernando Que honra! Pensei em você o tempo todo enquanto escrevia. :); 3; 2; 359; 0; https://twitter.com/gduvivier/status/1328337202166837250; None; None] 
[2020-11-16 13:08:03+00:00; gduvivier; @emerichpaloma CARALHO QUE ODIO; 7; 0; 63; 0; https://twitter.com/gduvivier/status/1328323951177703424; None; None] 
[2020-11-16 12:56:29+00:00; gduvivier; @tatiroque @MarceloFreixo E PCdoB!; 9; 2; 422; 1; https://twitter.com/gduvivier/status/1328321037986041856; None; None] 
[2020-11-16 12:53:19+00:00; gduvivier; @zeluizlhesdiz Entendo a raiva, mas vejo como uma tragédia anunciada. Os partidos de esquerda mal conseguem entrar em bairros de milícia. Nossa democracia tem barreiras físicas; 7; 2; 198; 1; https://twitter.com/gduvivier/status/1328320241680740352; None; None] 
[2020-11-16 04:30:56+00:00; gduvivier; @jilmartatto @GuilhermeBoulos Parabens, Tatto!!! Grandeza; 3; 12; 1285; 0; https://twitter.com/gduvivier/status/1328193814725586944; None; None] 
[2020-11-16 04:27:38+00:00; gduvivier; @paulopinheirorj Parabens!!!!!; 1; 1; 29; 0; https://twitter.com/gduvivier/status/1328192982294597636; None; None] 
[2020-11-16 04:27:28+00:00; gduvivier; se isso nao é uma vitória https://t.co/IJCr8ZXkxh; 22; 59; 2036; 1; https://twitter.com/gduvivier/status/1328192940431335426; None; https://twitter.com/pedrow/status/1328191428112035843] 
[2020-11-16 04:25:02+00:00; gduvivier; muitos motivos pra comemorar https://t.co/RK6xRxCDi2; 30; 13; 366; 2; https://twitter.com/gduvivier/status/1328192329468047360; None; https://twitter.com/gabrieldread/status/1328123035371646976] 
[2020-11-16 04:23:58+00:00; gduvivier; @monica_benicio Parabens, Monica!!! ❤️❤️❤️❤️; 0; 1; 154; 0; https://twitter.com/gduvivier/status/1328192058486648832; None; None] 
[2020-11-16 03:57:59+00:00; gduvivier; @rodrigosalem pois é, tb so percebi agora; 10; 1; 846; 0; https://twitter.com/gduvivier/status/1328185521072431104; None; None] 
[2020-11-16 03:56:16+00:00; gduvivier; VIRÁ QUE EU JÁ TO VENDO https://t.co/HG7hXDhdUW; 82; 289; 5312; 44; https://twitter.com/gduvivier/status/1328185091349213184; None; https://twitter.com/Diogotapuio/status/1328176969670942720] 
[2020-11-16 03:51:08+00:00; gduvivier; @podcastmid HAHAHAHAHAHA NAO TINHA VISTO; 1; 0; 44; 0; https://twitter.com/gduvivier/status/1328183798924767234; None; None] 
[2020-11-16 03:50:28+00:00; gduvivier; Numa cidade onde um terço da população vive em territorio controlado pela milicia, onde candidatos não podem nem sequer panfletar, Crivella ter 20% é uma derrota GIGANTE pro bolsonarismo.; 215; 634; 14097; 93; https://twitter.com/gduvivier/status/1328183631299350529; None; None] 
[2020-11-16 03:33:43+00:00; gduvivier; @MottaTarcisio Parabens, meu parceiro!!! Você é foda 🎉🎈🎊; 5; 5; 704; 0; https://twitter.com/gduvivier/status/1328179415818362881; None; None] 
[2020-11-16 03:31:58+00:00; gduvivier; GALVÃO... https://t.co/VqzZH4mTWb; 1165; 2108; 56863; 437; https://twitter.com/gduvivier/status/1328178976225972225; None; None] 
[2020-11-16 03:31:16+00:00; gduvivier; @chico_psol Parabens, meu amigo! Linda campanha 🎉; 0; 0; 265; 1; https://twitter.com/gduvivier/status/1328178797561188352; None; None] 
[2020-11-16 03:25:45+00:00; gduvivier; O VEREADOR MAIS VOTADO DO RIO É O TARCISIO. https://t.co/vgPftqgL1O; 31; 70; 4513; 8; https://twitter.com/gduvivier/status/1328177411633139713; None; https://twitter.com/MottaTarcisio/status/1328168156989444101] 
