2020-12-05 23:50:43+00:00; DouglasGarcia; 8 de dezembro vamos marchar da Av Paulista até a ALESP. DIA ÚTIL MESMO, QUE É PARA OS DEPUTADOS OUVIREM!   Posso contar com vocês? Compartilhem! https://t.co/n4awM3QlgP; 9880; 317; 2404; 386; https://twitter.com/DouglasGarcia/status/1335371052013252608; None; None
2020-12-05 20:02:37+00:00; DouglasGarcia; @WesleyZL12 Ele mesmo; 2; 1; 1; 0; https://twitter.com/DouglasGarcia/status/1335313649854976004; None; None
2020-12-05 20:01:26+00:00; DouglasGarcia; @henrique_pht Vou cobrar 👍🏾; 2; 0; 1; 0; https://twitter.com/DouglasGarcia/status/1335313351975575554; None; None
2020-12-05 19:46:27+00:00; DouglasGarcia; @ziggyreborn1 Jiu jitsu eu comecei há poucas semanas... Muay Thai já faço há um bom tempo - fiquei parado meses devido a uma lesão no joelho, por isso só pude graduar agora.; 4; 0; 0; 0; https://twitter.com/DouglasGarcia/status/1335309579454918664; None; None
2020-12-05 19:34:58+00:00; DouglasGarcia; Finalmente saí do zero, clã.   Obrigado, Mestre Eduardo Lemes, obrigado equipe Nocaute K.O. Team Muay Thai  Um bom final de semana a todos!  sawadee krap 🙏🏾🇧🇷🇹🇭 https://t.co/Nfj5DUCjGy; 2079; 58; 99; 8; https://twitter.com/DouglasGarcia/status/1335306689587916803; None; None
2020-12-05 19:31:39+00:00; DouglasGarcia; Santo Batman! O criminoso não atende mais pelo pseudônimo de Pinguim, agora é Tucano! https://t.co/7Hj4jKVjZU https://t.co/cl1vWMqkPp; 2826; 47; 304; 17; https://twitter.com/DouglasGarcia/status/1335305856179703808; None; https://twitter.com/AbrahamWeint/status/1335302937564901384
2020-12-05 12:13:54+00:00; DouglasGarcia; Cercar a Assembleia em dia útil para que os deputados ouçam a voz do povo. Vocês estarão comigo nessa? Repassem a seus amigos, deem RT. Vamos marchar da Av Paulista até a ALESP. Sim, os deputados estarão lá. Sim, eles ouvirão vocês! COMPARTILHEM! https://t.co/jAIYDsv4Xh; 8068; 267; 2751; 467; https://twitter.com/DouglasGarcia/status/1335195691203833857; None; None
2020-12-05 02:39:21+00:00; DouglasGarcia; https://t.co/C0ytKGCvOF; 3208; 93; 236; 25; https://twitter.com/DouglasGarcia/status/1335051100311924737; None; None
2020-12-05 01:33:58+00:00; DouglasGarcia; Gil Diniz havia ajuizado uma ação contra a reeleição do atual Presidente da ALESP Cauê Macris. Hoje ele ocupa este cargo mesmo a Constituição do Estado de SP expressamente proibindo, mas o TJ entendeu que a decisão ficaria a critério do plenário da Casa. https://t.co/dlGbcJWht7; 2155; 45; 350; 25; https://twitter.com/DouglasGarcia/status/1335034649094070272; None; https://twitter.com/carteiroreaca/status/1335022254053339138
2020-12-05 00:21:45+00:00; DouglasGarcia; Dep Agente Federal Danilo Ballas foi um dos que assinaram favoravelmente para pautar meu PDL 42 que flexibiliza a quarentena no Estado de SP. Obrigado, Danilo! Estamos a caminho das 60 assinaturas 🙏🏾 https://t.co/BXJbEuziZK; 4116; 53; 557; 34; https://twitter.com/DouglasGarcia/status/1335016473610350599; None; None
2020-12-04 13:37:55+00:00; DouglasGarcia; Dep Sargento Neri foi um dos que assinaram favoravelmente para pautar meu PDL 42 que flexibiliza a quarentena no Estado de SP. Obrigado, Sargento! Estamos a caminho das 60 assinaturas 🙏🏾 https://t.co/cia6g6WfME; 3251; 35; 387; 26; https://twitter.com/DouglasGarcia/status/1334854447814598657; None; None
2020-12-04 03:23:59+00:00; DouglasGarcia; Também notificarei os órgãos internacionais de Direitos Humanos, a Defensoria Pública de Direitos Humanos e o CONDEPE-SP (apesar deste último só se importar em defender bandidos), as instituições precisam ter ciência do que está acontecendo para que sejam responsáveis!; 2428; 15; 265; 11; https://twitter.com/DouglasGarcia/status/1334699944767315968; None; None
2020-12-04 03:23:58+00:00; DouglasGarcia; Não me esqueci dos PMs (muitas vezes presos por matar bandidos) transferidos para presídios comuns. Os próximos a serem oficialmente notificados serão: o Alto Comando e o Tribunal Militar. Se algo ocorrer com esses policiais, eu processarei todas essas instituições. https://t.co/hSQhdoFfvV; 4688; 83; 810; 49; https://twitter.com/DouglasGarcia/status/1334699942879907840; None; None
2020-12-04 03:14:47+00:00; DouglasGarcia; https://t.co/AJ1v3nbYKr; 267; 13; 43; 1; https://twitter.com/DouglasGarcia/status/1334697630165692416; None; None
2020-12-04 01:37:47+00:00; DouglasGarcia; Obrigado, Gil 👊🏾🇧🇷 https://t.co/Z6CQ2fUHav; 1629; 22; 188; 8; https://twitter.com/DouglasGarcia/status/1334673222055424004; None; https://twitter.com/carteiroreaca/status/1334672560571682819
2020-12-04 01:34:24+00:00; DouglasGarcia; @MWcamargo Ainda não; 1; 1; 0; 0; https://twitter.com/DouglasGarcia/status/1334672370569785344; None; None
2020-12-04 01:26:51+00:00; DouglasGarcia; Dep @valbolsonaro foi uma das que assinaram favoravelmente para pautar o PDL 42 que flexibiliza a quarentena no Estado de SP. Obrigado, Deputada! 🥰  Converse com seu deputado! Vamos atingir 60 assinaturas! 🇧🇷👊🏾 https://t.co/AYLhTdDR4O; 2560; 56; 404; 40; https://twitter.com/DouglasGarcia/status/1334670470042570753; None; None
2020-12-03 23:58:29+00:00; DouglasGarcia; @Steh_Papaiano Então já pode começar a fazer a representação.; 124; 2; 4; 1; https://twitter.com/DouglasGarcia/status/1334648231024861184; None; None
2020-12-03 23:19:20+00:00; DouglasGarcia; Dep Janaína Paschoal foi uma das que assinaram favoravelmente para pautar o PDL 42 que flexibiliza a quarentena no Estado de SP. Aos poucos irei anunciar o nome de todos os deputados que estão assinando. Preciso de no mínimo 60 assinaturas 🙏🏾 https://t.co/onq9PDtm2J; 7123; 245; 884; 103; https://twitter.com/DouglasGarcia/status/1334638379397509121; None; None
2020-12-03 23:16:31+00:00; DouglasGarcia; @CamilaFortuna1 Eu sei. O que importa é o link; 177; 7; 6; 2; https://twitter.com/DouglasGarcia/status/1334637669016621057; None; None
2020-12-03 23:12:24+00:00; DouglasGarcia; Consegui... Agora o chicote vai estralar   https://t.co/P9dKj8DxAh; 3874; 235; 408; 46; https://twitter.com/DouglasGarcia/status/1334636634042748930; None; None
