[2017-11-21 18:01:30+00:00; malugaspar; E agora, Alerj? https://t.co/4b3Q3yfZ55; 1; 2; 8; 0; https://twitter.com/malugaspar/status/933032636485918725; None; https://twitter.com/fausto_macedo/status/933032003418710016]
[2017-11-21 18:00:49+00:00; malugaspar; 😱😱 https://t.co/346KGYEPUO; 2; 1; 4; 0; https://twitter.com/malugaspar/status/933032466511814657; None; https://twitter.com/JornalOGlobo/status/933032287071100935]
[2017-11-21 09:18:32+00:00; malugaspar; Depende... vazia ou cheia? https://t.co/dPq2yC0f2E; 2; 3; 25; 0; https://twitter.com/malugaspar/status/932901028890075136; None; https://twitter.com/g1/status/932900393230639104]
[2017-11-21 09:18:05+00:00; malugaspar; E não prendeu quem tinha que prender 👇🏻👇🏻 https://t.co/6oFhWxWuu2; 1; 2; 6; 1; https://twitter.com/malugaspar/status/932900915807444992; None; https://twitter.com/g1/status/932900633434361857]
[2017-11-17 20:19:09+00:00; malugaspar; 👇🏻👇🏻👇🏻 https://t.co/tvg6WxuMLh; 0; 0; 3; 0; https://twitter.com/malugaspar/status/931617726694600706; None; https://twitter.com/fernandomolica/status/931606670840606720]
[2017-11-17 18:51:02+00:00; malugaspar; @dvcrj é isso aí.; 0; 0; 1; 0; https://twitter.com/malugaspar/status/931595553871486983; None; None]
[2017-11-17 18:47:40+00:00; malugaspar; Aconteceu o óbvio: Votação eletrônica dá 39 votos pela soltura de Picciani, Melo e Albertassi.; 4; 6; 16; 0; https://twitter.com/malugaspar/status/931594704722030592; None; None]
[2017-11-17 18:39:29+00:00; malugaspar; PSDB, PRB e PSOL são pela manutenção das prisões; 0; 1; 15; 0; https://twitter.com/malugaspar/status/931592645964697601; None; None]
[2017-11-17 18:30:08+00:00; malugaspar; Partidos encaminhamento. PT vota pela manutenção das prisões.; 0; 0; 1; 0; https://twitter.com/malugaspar/status/931590291534032897; None; None]
[2017-11-17 18:28:01+00:00; malugaspar; Deputados do Rio vão votar agora. Sim revoga as prisões. Não mantém os deputados presos.; 0; 1; 2; 0; https://twitter.com/malugaspar/status/931589761453654021; None; None]
[2017-11-17 18:26:21+00:00; malugaspar; O que vamos votar hoje, diz Freixo, é uma denúncia das mais graves, que tem relação com o que aconteceu nos últimos dez anos no Rio de Janeiro. É sobre isso que seremos cobrados nas ruas, afirma o deputado.; 0; 0; 4; 0; https://twitter.com/malugaspar/status/931589342165946368; None; None]
[2017-11-17 18:25:26+00:00; malugaspar; Votação sobre prisão de Picciani, Melo e Albertassi acontece para um plenário vazio. O povo ficou do lado de fora.; 0; 0; 2; 0; https://twitter.com/malugaspar/status/931589109495234560; None; None]
[2017-11-17 18:24:11+00:00; malugaspar; @MonicaWaldvogel eles se protegem, @MonicaWaldvogel. Lealdade (ou omertá) é a palavra-chave.; 1; 1; 3; 0; https://twitter.com/malugaspar/status/931588795643977728; None; None]
[2017-11-17 18:22:32+00:00; malugaspar; @jfrm_21 se a Alerj determinar a soltura, sim.; 0; 0; 0; 0; https://twitter.com/malugaspar/status/931588381141880832; None; None]
[2017-11-17 18:19:43+00:00; malugaspar; Para Freixo, defender a independência entre os poderes significa respeitar a decisão do TRF-2.; 0; 0; 0; 0; https://twitter.com/malugaspar/status/931587672904171520; None; None]
[2017-11-17 18:17:55+00:00; malugaspar; Marcelo Freixo vai defender a manutenção da prisão de Picciani, Melo e Albertassi.; 1; 0; 1; 0; https://twitter.com/malugaspar/status/931587217339936773; None; None]
[2017-11-17 18:11:22+00:00; malugaspar; Constituição Federal é escudo para deputados contra e a favor da soltura dos deputados Picciani, Melo e Albertassi. Só que a Constituição é uma só.; 0; 2; 2; 0; https://twitter.com/malugaspar/status/931585571583156225; None; None]
[2017-11-17 18:09:08+00:00; malugaspar; @revistapiaui “Ele não te engana. Se diz sim, é sim. Se falar não, é não. Cumpre o que promete, é generoso. Uma vez, chamou o prefeito de Macaé e pediu que carreasse os votos de lá não para ele, Picciani, mas para mim. E eu recebi 6 mil votos numa cidade onde não tinha nenhuma base eleitoral.”; 0; 10; 5; 0; https://twitter.com/malugaspar/status/931585006916587521; None; None]
[2017-11-17 18:08:35+00:00; malugaspar; @revistapiaui “Eu, playboy da Zona Sul, tinha nojo dele. Com o tempo, fui mudando minha percepção”, explicou Lazaroni, sobre Picciani.; 1; 8; 4; 0; https://twitter.com/malugaspar/status/931584870073143296; None; None]
[2017-11-17 18:07:01+00:00; malugaspar; Agora André Lazzaroni (PMDB) vai defender os deputados presos. Lazzaroni foi indicado por Picciani para a secretaria de Cultura de Pezão no início do ano. E disse o seguinte no perfil que fiz de Picciani para a @revistapiaui:; 1; 15; 14; 1; https://twitter.com/malugaspar/status/931584473094873088; None; None]
[2017-11-17 18:04:41+00:00; malugaspar; Isso deveria acabar, para a gente não estar vivendo o clima que a gente vive hoje, diz o deputado estadual Luiz Paulo (PSDB); 0; 0; 0; 0; https://twitter.com/malugaspar/status/931583886836092928; None; None]
[2017-11-17 18:03:28+00:00; malugaspar; Luiz Paulo (na Alerj) defende o fim do foro privilegiado.; 1; 0; 2; 0; https://twitter.com/malugaspar/status/931583580479918081; None; None]
[2017-11-17 18:02:03+00:00; malugaspar; Luiz Paulo: "A única coisa que um parlamentar pode ter com total liberdade é decidir o seu voto. Mas jamais poderá admitir que o prêmio por um voto possa ser algum tipo de propina."; 0; 0; 0; 0; https://twitter.com/malugaspar/status/931583226837118977; None; None]
[2017-11-17 17:59:57+00:00; malugaspar; Ninguém aqui está decidindo sobre a culpabilidade dos parlamentares, mas se a decisão do Judiciário deve ser corroborada pelo parlamento, diz Luiz Paulo.; 0; 0; 0; 0; https://twitter.com/malugaspar/status/931582695137714177; None; None]
[2017-11-17 17:59:18+00:00; malugaspar; Luiz Paulo comenta que quatro procuradores e cinco desembargadores defendem a prisão preventiva. "A decisão aqui é política, não jurídica".; 1; 0; 0; 0; https://twitter.com/malugaspar/status/931582531899674629; None; None]
[2017-11-17 17:54:48+00:00; malugaspar; Luiz Paulo da Rocha defende a manutenção da prisão de Picciani, Melo e Albertassi.; 1; 1; 2; 0; https://twitter.com/malugaspar/status/931581399664087041; None; None]
[2017-11-17 17:53:47+00:00; malugaspar; Abdré Correa: "Melhor dormir com a consciência tranquila, mesmo sabendo que vai apanhar da opinião pública." Cada um com sua consciência, né?; 0; 1; 8; 0; https://twitter.com/malugaspar/status/931581144830742528; None; None]
[2017-11-17 17:52:52+00:00; malugaspar; André Correa: "Falei para minhas filhas: Vocês estão grandinhas. Não tem motivo para ter vergonha do pai na política." Tudo para explicar que vai votar pela libertação de Picciani, Melo e Albertassi.; 3; 4; 9; 3; https://twitter.com/malugaspar/status/931580915037429760; None; None]
[2017-11-17 17:50:50+00:00; malugaspar; Ele disse que falou para as filhas: papai não tá votando pra soltar Picciani. Está votando pelo direito, pelo respeito à Constituição. Conta que uma filha perguntou, porque só votam para liberar deputados e não fazem nada quando outros são presos injustamente? Filha inteligente.; 0; 2; 20; 1; https://twitter.com/malugaspar/status/931580401130377216; None; None]
[2017-11-17 17:49:01+00:00; malugaspar; André Correa sempre foi um bom aliado de Picciani e Melo. Foi secretário de estado, sempre alinhado com o grupo. Não ia falhar agora.; 0; 2; 7; 0; https://twitter.com/malugaspar/status/931579943598936065; None; None]
[2017-11-17 17:48:00+00:00; malugaspar; Aqui ninguém vai absolver ou condenar os três deputados, diz André Correia (DEM) Diz que os que votarem com ele serão massacrados. Que é muito difícil explicar o que será feito na Alerj hoje.; 3; 4; 11; 1; https://twitter.com/malugaspar/status/931579687507255296; None; None]
[2017-11-17 17:45:46+00:00; malugaspar; Deputado André Correia (DEM) diz que não tem vocação para subir na carniça dos outros. Humm...; 1; 1; 1; 0; https://twitter.com/malugaspar/status/931579128813441024; None; None]
[2017-11-17 17:44:55+00:00; malugaspar; Antes, tuitei o link errado. Segue aqui o link para a sessão ao vivo do plenário da Alerj. https://t.co/KbIH3MWqHQ; 0; 3; 5; 2; https://twitter.com/malugaspar/status/931578911263219713; None; None]
[2017-11-17 17:44:40+00:00; malugaspar; @Cecillia @barreiragabriel o link estava antigo, cecilia! sorry. o certo é aqui:https://t.co/KbIH3MWqHQ. vou continuar tuitando a respeito. bjs; 0; 0; 0; 0; https://twitter.com/malugaspar/status/931578852513599489; None; None]
