2019-09-16 15:18:46+00:00; GabrielaPrioli; “Vocês querem atacar uma elite que não é sequer esquerdista, é APENAS CORRUPTA” “Vamos combater a corrupção! NÃO, vamos combater o comunismo primeiro”. Vejam com seus próprios olhos a partir do 7:20’ . E o povo subiu a # estamoscomvcBolsonaro ... mesmo? https://t.co/6lCl8EHfZ0; 22; 6; 4; 1; https://twitter.com/GabrielaPrioli/status/1173617228945723393; None; None
2019-09-10 23:25:18+00:00; GabrielaPrioli; Igual lei de Abuso Autoridade que A FAVOR da autoridade que não abusa do poder e CONTRA a que ABUSA? https://t.co/vVblXOd0oD; 9; 0; 0; 1; https://twitter.com/GabrielaPrioli/status/1171565340289044482; None; https://twitter.com/JanainaDoBrasil/status/1171178084600619008
2019-09-08 16:17:16+00:00; GabrielaPrioli; Fica o questionamento. https://t.co/J18cWOghjU; 16; 2; 2; 0; https://twitter.com/GabrielaPrioli/status/1170732847042387969; None; https://twitter.com/LeoJaime/status/1170203640080031744
2019-09-02 14:38:57+00:00; GabrielaPrioli; Contei recentemente minha história no Instagram. Uma mãe viúva com dois filhos pequenos (ah, as mães solo tão comuns no nosso país) faz como? Não trabalha? O jornalista vai pagar as contas? Pra onde elas escrevem pra pedir o $ @augustosnunes ? https://t.co/PmAVDoR5x1; 10; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1168533776919646208; None; https://twitter.com/ggreenwald/status/1168229577552015361
2019-08-26 13:32:41+00:00; GabrielaPrioli; @BolsonaroSP @GloboRural Eduardo, não é isso que diz a matéria. A matéria tem como título a investigação de um grupo no wtpp, de 70 pessoas, relatando que a intenção deles era demonstrar APOIO às medidas adotadas pelo Presidente. Há um relato em sentido contrário, mas o seu tweet engana quem ñ lê tudo https://t.co/yhGaZsWW3T; 23; 0; 2; 0; https://twitter.com/GabrielaPrioli/status/1165980385412624385; None; None
2019-08-15 15:51:41+00:00; GabrielaPrioli; Ué gente, não são vocês que dizem que a Lava Jato só age dentro dos conformes? Por qual razão uma lei que criminaliza o ABUSO atingiria uma operação na qual vocês dizem não haver nenhum abuso? Não entendi não....; 22; 1; 4; 1; https://twitter.com/GabrielaPrioli/status/1162029101336735746; None; None
2019-06-28 23:30:39+00:00; GabrielaPrioli; Puta merda, me restou o centrão? https://t.co/rNxhKkUt27; 9; 2; 1; 0; https://twitter.com/GabrielaPrioli/status/1144749986707648513; None; https://twitter.com/jose_simao/status/1144247063359696897
2019-06-24 00:33:17+00:00; GabrielaPrioli; @JanainaDoBrasil “Firme desejo de responsabilizar culpados” no meio do processo, é isso? Durante o processo o Moro já sabia quem era culpado e se uniu ao MP pra responsabilizar essas pessoas? Pq aí tá ÓBVIA a parcialidade, né? A menos que a presunção de inocência tbm tenha morrido no caminho.; 22; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1142953807321686017; None; None
2019-06-24 00:31:21+00:00; GabrielaPrioli; Juiz não deve ter firme desejo de responsabilizar alguém e uma pessoa só pode ser considerada culpada depois da condenação transitada em julgado (CF que diz). Se unir ao MP pra responsabilizar alguém que vc já acha culpado antes de julgar é JUSTAMENTE o que ñ pode. Socorro. https://t.co/j3Gg7HACR8; 7; 1; 0; 1; https://twitter.com/GabrielaPrioli/status/1142953322485301253; None; https://twitter.com/JanainaDoBrasil/status/1142873589928120320
2019-06-19 19:44:25+00:00; GabrielaPrioli; É isso mesmo, @AbrahamWeint ? Temos uma propaganda racista no perfil do @MEC_Comunicacao no Instagram? https://t.co/yOGVwC1wck; 62; 3; 8; 4; https://twitter.com/GabrielaPrioli/status/1141431562036289536; None; None
2019-06-13 15:07:03+00:00; GabrielaPrioli; Leitura dinâmica já! https://t.co/SkOU23aihf; 4; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1139187432199544833; None; https://twitter.com/ojotacamelo/status/1138872149773606912
2019-06-13 14:52:55+00:00; GabrielaPrioli; Adorei! https://t.co/3jw10rsKbH; 5; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1139183876083990533; None; https://twitter.com/__dvls/status/1138945603650670593
2019-06-12 00:19:55+00:00; GabrielaPrioli; Eita, mas não era só falar que não tem nada demais e tals? https://t.co/s6V5iT7j4x; 7; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1138601787999608832; None; https://twitter.com/QuebrandoOTabu/status/1138599735139418118
2019-06-11 21:46:20+00:00; GabrielaPrioli; Que absurdo, né? Se eles@fossem juízes federais poderiam mandar interceptar e depois divulgar ilegalmente. Muito mais ético. Em tempo, quer que eu te encaminhe sua entrevista no Bial sobre “o@que importa é o conteúdo” ou vc tem aí? https://t.co/4ibEuyST02; 16; 0; 1; 1; https://twitter.com/GabrielaPrioli/status/1138563137517641729; None; https://twitter.com/SF_Moro/status/1138404357370798080
2019-06-11 03:19:04+00:00; GabrielaPrioli; Pra quem, como o Alê, só teve aula até a inquisição, sugiro fortemente a leitura: CF, art. LIII e LIV; CADH (status supralegal), art. 8.1; CPP, art. 254, IV; Código da Magistratura, art. 8º. Acho que tá bom já. Só jogar no Google assim mesmo que rola. https://t.co/tQa56eID8g; 9; 1; 0; 0; https://twitter.com/GabrielaPrioli/status/1138284486645432326; None; https://twitter.com/alexandregarcia/status/1138245400522047488
2019-06-11 03:17:18+00:00; GabrielaPrioli; @alexandregarcia Sobre “a lei”, sugiro fortemente a CF, art. LIII e LIV; CADH (status supralegal), art. 8.1; CPP, art. 254, IV; Código da Magistratura, art. 8º. Acho que tá bom já.; 4; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1138284043714347009; None; None
2019-06-11 03:09:55+00:00; GabrielaPrioli; @alexandregarcia Socorro. Faltou em todas as aulas de processo penal da história do mundo. Ah não, pera, deve ter lido o manual da inquisição.; 22; 1; 1; 0; https://twitter.com/GabrielaPrioli/status/1138282183158915072; None; None
2019-06-10 21:55:20+00:00; GabrielaPrioli; Ilustrado https://t.co/p7I9pltmBB; 88; 4; 7; 6; https://twitter.com/GabrielaPrioli/status/1138203018216792064; None; None
2019-06-10 19:27:49+00:00; GabrielaPrioli; Querendo ouvir a @JanainaDoBrasil .; 3; 2; 0; 0; https://twitter.com/GabrielaPrioli/status/1138165894423732224; None; None
2019-06-10 18:46:32+00:00; GabrielaPrioli; Pessoal da Lava Jato dizendo que as mensagens estão descontextualizadas. Não são eles o pessoal do “quem não deve não teme”? Mostra aí as mensagens, pra gente compreender o contexto.; 24; 0; 3; 0; https://twitter.com/GabrielaPrioli/status/1138155503366918145; None; None
2019-06-10 05:05:21+00:00; GabrielaPrioli; @antoniotabet Não Tabet, não se trata de comemorar, mas as defesas podem usar inclusive provas ilícitas pra se defender alegando a imparcialidade do juiz. Pra acusá-los, entretanto, a ilicitude invalida a prova.; 10; 0; 1; 0; https://twitter.com/GabrielaPrioli/status/1137948847269920769; None; None
2019-06-10 05:03:06+00:00; GabrielaPrioli; @CarlosBolsonaro Viu sim, amado, quando o atual Ministro da Justiça do seu pai, então juiz, vazou ilegalmente os áudios da Dila com o Lula. Beijos.; 6; 3; 0; 1; https://twitter.com/GabrielaPrioli/status/1137948277603799040; None; None
2019-06-04 23:43:17+00:00; GabrielaPrioli; @MBLivre Acabou a mamata; 1; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1136055856741670912; None; None
2019-06-04 23:41:42+00:00; GabrielaPrioli; @fernandomolica Um governo que endurece a luta contra as drogas... aí, não, pera....; 7; 0; 0; 0; https://twitter.com/GabrielaPrioli/status/1136055459046199298; None; None
