2019-03-16 06:05:57+00:00; LeoLins; @trooper_2187 : ) \m/; 19; 1; 0; 0; https://twitter.com/LeoLins/status/1106798740764086272; None; None
2019-03-14 23:19:19+00:00; LeoLins; https://t.co/mRshB1FVWY; 24; 1; 1; 0; https://twitter.com/LeoLins/status/1106334020907032576; None; None
2019-03-13 03:55:08+00:00; LeoLins; @Ithalotomazz @douglasminotto sobre o que?!? Digam ai; 68; 19; 12; 19; https://twitter.com/LeoLins/status/1105678656091967488; None; None
2019-03-12 19:56:33+00:00; LeoLins; I posted a new video to Facebook https://t.co/x4BcHVyULT; 17; 2; 1; 1; https://twitter.com/LeoLins/status/1105558214123446273; None; None
2019-03-12 15:20:44+00:00; LeoLins; https://t.co/aPmufNrDMF; 25; 6; 0; 0; https://twitter.com/LeoLins/status/1105488802418696193; None; None
2019-03-12 02:22:51+00:00; LeoLins; Ele está voltando! #TheNoite https://t.co/ol3CA4w1gk; 98; 5; 10; 1; https://twitter.com/LeoLins/status/1105293043521867776; None; None
2019-03-11 15:00:12+00:00; LeoLins; #RodadaDaNoite - Ex-ator pornô vira professor de matemática. https://t.co/AeOi1iqmYg; 41; 7; 1; 1; https://twitter.com/LeoLins/status/1105121250375098368; None; None
2019-03-11 13:30:08+00:00; LeoLins; PRÓXIMOS SHOWS:  23/03 - SANTARÉM  24/03 - MANAUS https://t.co/2P4HBj0Axi; 29; 4; 1; 0; https://twitter.com/LeoLins/status/1105098581768355840; None; None
2019-03-11 10:51:53+00:00; LeoLins; @tarellyaguiar claro q vai!; 0; 1; 0; 0; https://twitter.com/LeoLins/status/1105058757455810562; None; None
2019-03-10 16:29:52+00:00; LeoLins; O dia em que eu contei uma piada na linguagem de surdo mudo  PRÓXIMOS SHOWS:  23/03 - SANTARÉM 24/03 - MANAUS  Ingressos antecipados (link nos comments) https://t.co/DVsxNAMIj8; 43; 7; 5; 1; https://twitter.com/LeoLins/status/1104781426514452481; None; None
2019-03-07 01:52:06+00:00; LeoLins; Ei @jairbolsonaro , agr ta tirada a duvida https://t.co/1bQDNnc6xf; 1054; 32; 110; 16; https://twitter.com/LeoLins/status/1103473363924717569; None; None
2019-03-07 00:44:47+00:00; LeoLins; I posted a new video to Facebook https://t.co/IQG4edTD5S; 12; 0; 2; 0; https://twitter.com/LeoLins/status/1103456423986561025; None; None
2019-03-07 00:42:59+00:00; LeoLins; Tirando a duvida do presidente @jairmessiasbolsonaro https://t.co/fUBpdao90D; 563; 15; 76; 7; https://twitter.com/LeoLins/status/1103455971886682118; None; None
2019-03-05 20:11:41+00:00; LeoLins; https://t.co/M9y3uGkV6E; 12; 0; 1; 0; https://twitter.com/LeoLins/status/1103025310889623552; None; None
2019-03-05 00:27:10+00:00; LeoLins; Como vive um cordeiro de carnaval? Em 2016 passei um dia com eles e fiz essa impactante matéria. #SBTFolia #Carnaval https://t.co/w3bvI1rMou; 32; 3; 3; 0; https://twitter.com/LeoLins/status/1102727214280437760; None; None
2019-02-28 01:58:52+00:00; LeoLins; #mestremandou #thenoite https://t.co/dftEjiyIbR; 33; 5; 1; 0; https://twitter.com/LeoLins/status/1100938351501299714; None; None
2019-02-26 14:04:40+00:00; LeoLins; @CorrupcaoMemes hahahahah; 58; 1; 0; 0; https://twitter.com/LeoLins/status/1100396229597544449; None; None
2019-02-21 23:16:10+00:00; LeoLins; https://t.co/XTz6pUSrjt; 25; 1; 1; 0; https://twitter.com/LeoLins/status/1098723082339041280; None; None
2019-02-20 16:13:40+00:00; LeoLins; A verdadeira historia de Juazeiro nos vemos sabado! 70% ingressos vendidos ***LINIK P INGRESSO NOS COMENTARIOS*** https://t.co/1CkB07oluX; 20; 1; 0; 0; https://twitter.com/LeoLins/status/1098254368120455168; None; None
2019-02-20 16:01:54+00:00; LeoLins; bela analise https://t.co/Qheh1PJeHq; 28; 1; 1; 0; https://twitter.com/LeoLins/status/1098251408212742144; None; None
2019-02-19 21:34:33+00:00; LeoLins; @allekka87 vlwww; 1; 0; 0; 1; https://twitter.com/LeoLins/status/1097972733831458817; None; None
2019-02-19 21:33:59+00:00; LeoLins; Vlwww Pedrita!! RT @pedritaprvtufc: Aquele comediante que vc respeita. @LeoLins que show incrível. https://t.co/OMLIFh7gKG; 101; 7; 2; 0; https://twitter.com/LeoLins/status/1097972588620509184; None; None
2019-02-19 19:59:39+00:00; LeoLins; Reforma da previdência. Conheça o verdadeiro culpado. https://t.co/Gi0GM48R2S; 22; 1; 1; 0; https://twitter.com/LeoLins/status/1097948849283440640; None; None
2019-02-18 14:00:52+00:00; LeoLins; A verdadeira história de Campina Grande SEXTA FEIRA TO AI com vcs 70% ingressos vendidos!!! VLW AI TODOS que ja garantiram presença ***link para ingresso nos comentarios*** https://t.co/cRx9SLoxJG; 27; 2; 2; 0; https://twitter.com/LeoLins/status/1097496169910018049; None; None
2019-02-18 13:48:00+00:00; LeoLins; A verdadeira história de Feira de Santana domingo to ai com vcs OBRIGADO A TODOS que ja garantiram presença, 70% ingressos vendidos!!! ***link para ingresso nos comentarios*** https://t.co/t88Ii96pK0; 23; 1; 2; 0; https://twitter.com/LeoLins/status/1097492935040532480; None; None
2019-02-17 23:33:12+00:00; LeoLins; @matheusdalencar vlw matheus; 63; 5; 0; 0; https://twitter.com/LeoLins/status/1097277814456401920; None; None
