[2020-12-02 03:13:56+00:00; felipeneto; @reporterenato Vc foi corajoso. A quantidade de msgs de apoio de jornalistas q recebi nos bastidores foi imensa, mas todo mundo com medo de dizer q concorda publicamente, pq isso seria criticar a estrutura das grandes empresas e ameaçaria o emprego deles.; 1; 2; 92; 1; https://twitter.com/felipeneto/status/1333972640357376001; None; None] 
[2020-12-02 03:10:44+00:00; felipeneto; @mafael87 @reporterenato O dia inteiro... Fiquei sabendo até de chefão de veículo mandando áudio pra todo mundo da redação me atacando, motivando o ódio na equipe.  E mta gente vindo me apoiar nos bastidores e falando q não pode dizer q concorda pra não perder o emprego.; 6; 1; 72; 0; https://twitter.com/felipeneto/status/1333971837039095808; None; None] 
[2020-12-02 03:07:20+00:00; felipeneto; @reporterenato Cuidado, vão te xingar por isso. Como ousas declarar uma opinião contrária ao corporativismo do meio?; 3; 1; 69; 0; https://twitter.com/felipeneto/status/1333970979341660161; None; None] 
[2020-12-02 02:55:35+00:00; felipeneto; Torcedor do Flamengo, se vc acha q tá ruim, pense no Botafogo, que hoje amanheceu com ameaça de morte caso o time não ganhe domingo...  E o jogo é sábado. https://t.co/mMdSBJe236; 420; 240; 9533; 171; https://twitter.com/felipeneto/status/1333968023829540866; None; None] 
[2020-12-02 02:48:25+00:00; felipeneto; Vixe; 446; 97; 9165; 44; https://twitter.com/felipeneto/status/1333966219809087490; None; None] 
[2020-12-02 02:04:39+00:00; felipeneto; @RodZeidan Digurpa não fui eu q fiz; 14; 0; 623; 7; https://twitter.com/felipeneto/status/1333955207315804161; None; None] 
[2020-12-02 01:41:19+00:00; felipeneto; THE TRATORES! https://t.co/DHcI08z07G; 703; 604; 17834; 486; https://twitter.com/felipeneto/status/1333949334027689985; None; None] 
[2020-12-02 00:32:49+00:00; felipeneto; O dia hoje passou q eu nem vi!; 349; 194; 9390; 42; https://twitter.com/felipeneto/status/1333932095312449537; None; None] 
[2020-12-01 21:53:54+00:00; felipeneto; Eu gostaria MUITO de uma explicação do @MinEconomia a respeito dos R$2,7 milhões gastos de dinheiro público para montar uma lista de detratores do governo, supostamente para "monitoramento".  Como esse dinheiro foi gasto? Como se gasta 2,7 milhões pra montar uma lista? https://t.co/0nOPxl2CL3; 309; 413; 7893; 72; https://twitter.com/felipeneto/status/1333892103773032453; None; None] 
[2020-12-01 21:33:35+00:00; felipeneto; @andre_rochadel Se os corporativistas defendem o corporativismo e querem defender o q vem acontecendo no jornalismo nos últimos anos, eu não vou ficar aqui tentando falar sobre o assunto e apanhando das próprias pessoas q são prejudicadas.  O assunto já deu, pra mim. Tentei, falhei.; 17; 0; 158; 3; https://twitter.com/felipeneto/status/1333886989221945344; None; None] 
[2020-12-01 21:22:03+00:00; felipeneto; @marlon_faria Eu fiz, cagaram e continuaram atacando.; 25; 0; 164; 4; https://twitter.com/felipeneto/status/1333884086419677185; None; None] 
[2020-12-01 21:21:32+00:00; felipeneto; @andre_rochadel Eu assumi, eu escrevi um fio explicando exatamente o q eu quis dizer, pedi desculpas por ter me expressado mal e ter dado a impressão de q estava criticando os jornalistas.  Cagaram, a chuva de ofensas, deboches e mensagens de "cala a boca" continuou na msm intensidade.; 9; 1; 144; 2; https://twitter.com/felipeneto/status/1333883956228460544; None; None] 
[2020-12-01 21:20:21+00:00; felipeneto; @RachelSherazade Detratores 25 e 12 reportando para o serviço!; 13; 0; 908; 0; https://twitter.com/felipeneto/status/1333883659863142401; None; None] 
[2020-12-01 20:56:46+00:00; felipeneto; @andre_rochadel Eu tentei atacar os chefões e o sucateamento, fui massacrado, então só posso concordar com o corporativismo e admitir q estava errado.; 25; 1; 363; 7; https://twitter.com/felipeneto/status/1333877724415467521; None; None] 
[2020-12-01 20:52:34+00:00; felipeneto; Acabei de ver que eu sou o DETRATOR 25 da lista oficial do governo, de 50 detratores listados para serem "monitorados".  Espero ser chamado de Detrator 25 de agora em diante. Ou de Maria Fifi. Os dois nomes são válidos. https://t.co/fHo3Pbcy8o; 540; 222; 10872; 141; https://twitter.com/felipeneto/status/1333876669820579842; None; None] 
[2020-12-01 20:22:15+00:00; felipeneto; @sigaoflavio A gente já consegue saber o nosso número na lista? Eu quero, eu quero!!; 16; 1; 612; 1; https://twitter.com/felipeneto/status/1333869036803944453; None; None] 
