2020-09-07 00:14:34+00:00; danilogentili; Tentei criar um formato de show maluco exclusivamente para quem fosse maluco o suficiente para sair de casa pra assistir comédia de dentro do carro num estádio de futebol. Fiquei feliz com as buzinadas que recebi de vocês. Espero que tenham tido uma noite diferente e divertida hoje. Obrigado pra todos vocês que foram assistir e fizeram parte disso :) E LEMBREM-SE: “Sou apenas um grão de açúcar no oceano” (Quem foi sabe do que estou falando).; 77507; 784; ; ; https://www.instagram.com/p/CE0JgAyn0U3/
2020-09-06 00:28:10+00:00; danilogentili; Trabalhando para o show de amanhã no @allianzparque; 22043; 313; ; ; https://www.instagram.com/p/CExmQtunP4s/
2020-09-05 17:10:23+00:00; danilogentili; Ela não é uma flor?; 28710; 781; ; ; https://www.instagram.com/p/CEw0HGbn1mw/
2020-09-04 01:57:49+00:00; danilogentili; Em 2015 eu e @diogoportugal iniciamos um negócio com um casal que, até então, era nosso amigo. O dinheiro do promissor negócio e da empresa foi desviado por eles. Ontem, finalmente, Robson Leiva Santos e sua esposa foram condenados por isso na justiça americana. Hoje, eu e @diogoportugal estamos comemorando a justiça ter sido feita \o/; 91685; 1146; ; ; https://www.instagram.com/p/CEsm7i5HORY/
2020-09-02 01:46:33+00:00; danilogentili; Olha aí o @diguinhocoruja jogando Eurotruck. Carga pesada ficou leve perto disso.; 92520; 9406; ; ; https://www.instagram.com/p/CEncDVini8c/
2020-08-31 23:18:17+00:00; danilogentili; Depois que eu conheci essa máscara da @insiderstore eu nem penso em usar outra - e já comprei pra minha mãe! Tenho certeza que se você ver o vídeo vai fazer o mesmo! Aproveite o cupom GENTILI10 para 10% de desconto em compras acima de R$50. . As máscaras da Insider não precisam ser trocadas nem lavadas a cada 4 horas e sua camiseta antiviral também te ajuda a ficar mais protegido sem levar contaminação para casa.  . Qualquer dúvida entrem em contato com o instagram deles: @insiderstore - valeu! #publi; 27581; 8435; ; ; https://www.instagram.com/p/CEkmM-Gn3gO/
2020-08-29 22:30:33+00:00; danilogentili; Tenha uma boa noite de sábado; 66569; 1724; ; ; https://www.instagram.com/p/CEfXPJlHItT/
2020-08-27 16:41:55+00:00; danilogentili; #tbt com @matheusceara e Ivy. What a day... What a lovely day!; 183275; 1402; ; ; https://www.instagram.com/p/CEZlv_MHLsV/
2020-08-26 00:25:08+00:00; danilogentili; Infelizmente ser famoso tem suas desvantagens. A fofoca e calúnia são algumas delas. O Conde Manteiguinha, também conhecido como @diguinhocoruja tem usado suas “transmissões” para espalhar a falsa narrativa que eu teria engordado na quarentena. Ele posta constantemente em seu perfil no instagram montagens onde eu pareceria um leitão cevado. Por isso faço questão de postar essas fotos tiradas HOJE pelo genial @gabrielcardosofoto - não existe photoshop nas imagens. Vejam minhas medidas. Nada mal para um rapaz de 30 e poucos anos, não? Desculpem, eu não gosto de me gambar do meu corpo, eu o mantenho em forma para as garotas e não para exibir no instagram, mas perante os constantes ataques do Meatloaf de Peruca, precisei deixar aqui esse importante registro. Obrigado e boa noite.; 132177; 2684; ; ; https://www.instagram.com/p/CEVRK7BHUJD/
2020-08-20 19:56:36+00:00; danilogentili; Eles dizem que é chocante e desconfortável mas é exatamente o contrário: é seguro, cômodo, rende biscoitinho de jornalista e muita publicidade capitali$ta. Qual dessas você prefere? 1, 2, 3 ou 4?; 86952; 3383; ; ; https://www.instagram.com/p/CEH6dsJnRxS/
