[2020-07-28 16:19:19+00:00; danilogentili; Nesse dia ficamos contando no relógio a hora certa para não nos atrasarmos para o chá das cinco. Ele me levou nesse tradicional lugar londrino porque eu disse pra ele que eu sempre quis muito tomar chá das 5 em Londres. Quando deu cinco horas brindamos o chá e ele bateu essa foto. Tomar chá das cinco em Londres era uma das xaropadas que eu queria muito fazer antes de morrer, e fiz graças a esse cara. Um bom momento que me fará lembrar sempre desse bom amigo. Estou muito triste por sua morte hoje. Eu era fã do seu trabalho. Descanse em paz, Rodrigo Rodrigues. Fará muita falta. Deus conforte a sua família.; https://www.instagram.com/p/CDMTUKKnx50/; 181549; 1541] 
[2020-07-25 16:30:01+00:00; danilogentili; ; https://www.instagram.com/p/CDEmEtSHAXF/; 61697; 1029] 
[2020-07-22 16:13:26+00:00; danilogentili; Peço desculpas pela sinceridade mas não é momento para humildade agora: a minha turma é barra-pesada sim e eu sou um real action man. Tentem me cancelar... apenas tentem...; https://www.instagram.com/p/CC81vVbn0Qy/; 46378; 1360] 
[2020-07-21 01:48:57+00:00; danilogentili; EXTERMINADORES DO ALÉM - A SÉRIE - estréia em breve no @warnerchannelbrasil - 10 episódios inéditos, um fantasma diferente pra ser exterminado toda noite e muito sangue!; https://www.instagram.com/p/CC4uJSQn5dV/; 28619; 479] 
[2020-07-08 21:55:11+00:00; danilogentili; O grande @stallonedobrasil do Brasil mostra porque é um real action hero!; https://www.instagram.com/p/CCZZpUTHMXJ/; 94564; 8833] 
[2020-07-03 15:14:33+00:00; danilogentili; Me respondam essa: dilema do #chaves  Trecho da live do @murilocouto; https://www.instagram.com/p/CCLz6vVneLz/; 16289; 1359] 
[2020-07-03 00:41:07+00:00; danilogentili; Adorei participar da sua live @murilocouto !; https://www.instagram.com/p/CCKP_rjHNoX/; 14697; 613] 
[2020-07-02 01:17:18+00:00; danilogentili; None; https://www.instagram.com/p/CCHva3unlQG/; 73501; 1849] 
[2020-06-25 16:31:40+00:00; danilogentili; Pouca gente sabe, mas fora do Brasil eu sou muito reconhecido no esporte Golfe. Tenho honrado nosso País lá fora com meu desempenho. Muitos me chamam no exterior de “White Tiger Woods” (Tigre Branco Madeiras). O #tbt de hoje vai para a minha contribuição para esse esporte.; https://www.instagram.com/p/CB3Wft8n15t/; 84014; 2087] 
[2020-06-19 00:39:57+00:00; danilogentili; Consulte o seu signo agora mesmo - e assista completo logo mais no The Noite Inédito de hoje!; https://www.instagram.com/p/CBmMz3anv5M/; 50365; 1382] 
[2020-06-18 20:34:21+00:00; danilogentili; #TBT do único amigo que fiz durante minhas últimas férias. Lembro o dia que fomos juntos saltar de pára-quedas. Eu pulei e gritei “Jerônimoooo”. Ele pulou e gritou “Euuuuuu”. Saudades. #tbt❤️; https://www.instagram.com/p/CBlwtCxnXSp/; 43268; 649] 
[2020-06-17 17:09:24+00:00; danilogentili; BOA DICA: Uma boa solução nesse período que a sua mãe, seu vô ou a pessoa que você gosta e está no grupo de risco deve evitar sair de casa :  pague tudo por whatsapp! É isso: pague suas contas por Whatsapp de maneira segura e parcelando tudo em até 12x pelo #whatspag da @botpag ! #publicidade; https://www.instagram.com/p/CBix9FPHHZe/; 10596; 330] 
[2020-06-14 01:40:11+00:00; danilogentili; SOBRE A NÃO TRANSMISSÃO DO “DANILO GENTILI LIVE AO VIVO SHOW” HOJE:  A Danilo Gentili Transmissões Mundiais e Broadcastings vem a público comunicar fato relevante, considerando o interesse dos nossos acionistas e do nosso sólido compromisso com a transparência com o público. Como todos sabem, jamais nossos programas sofreram quaisquer atrasos ou interferências, honrando nosso pilar que é a qualidade e pontualidade. Porém por força maior é preciso esclarecer os seguintes pontos:  1- As Transmissões Mundiais tratadas no anexo II de nosso contrato de prestação de serviço e que eram regularmente veiculadas aos sábados 23:59 segue em fase de estudo contratual, uma vez que certas cláusulas nos impedem de transmitir a live nesse formato pós-quarentena.  2- Alguns de nossos debatedores —nomes não serão citados, pois trata-se de questão jurídica— passaram a cobrar valores acima do inicialmente contratado, chegando alguns a exigir itens fora do escopo de contrato, como por exemplo, remessas semanais de refrigerante sabor cola entre outras coisas não éticas e não profissionais.  3- Para melhor atender a realidade da pós-quarentena, contratamos estudos com grandes consultorias para definir os melhores dias e horários para nossa nova programação bem como estudos de cancelamento de contrato de certos debatedores.  Esperamos voltar em breve para continuar levando conteúdo de primeira, informação e credibilidade ao grande público.  Obrigado.﻿; https://www.instagram.com/p/CBZbuuWHZOi/; 41514; 1329] 
[2020-06-13 22:04:42+00:00; danilogentili; Usei o #FaceApp e ficamos assim @kleineguitar @diguinhocoruja; https://www.instagram.com/p/CBZDEhIny_O/; 39551; 945] 
[2020-06-13 19:24:24+00:00; danilogentili; Estou toda depiladinha...; https://www.instagram.com/p/CBYwuU6n-zv/; 143563; 6695] 
[2020-06-12 15:12:37+00:00; danilogentili; Hoje é #diadosnamorados e tô ligado que você tá aí igual a @dudacamote tentando se conformar...; https://www.instagram.com/p/CBVu0FRn-Oj/; 38316; 900] 
[2020-06-11 22:10:36+00:00; danilogentili; Criamos um jeito diferente de entrevistar a distância e vamos estrear essa novidade hoje! Você nunca viu isso num talk-show antes :) Já já nóis entra no ar \o/; https://www.instagram.com/p/CBT6J8UHXaX/; 76397; 895] 
[2020-06-08 16:00:06+00:00; danilogentili; A “Danilo Gentili Transmissões Mundiais” pede desculpas pelo nível do último debate. Sempre zelamos pela informação, respeito e credibilidade e infelizmente as vezes as coisas desandam no calor das discussões. A “Danilo Gentili Transmissões Mundiais” não se responsabiliza por declarações de convidados e terceiros.; https://www.instagram.com/p/CBLhXuxHAKE/; 75045; 2238] 
[2020-06-06 21:31:34+00:00; danilogentili; Já já a última live da quarentena!; https://www.instagram.com/p/CBG9to2HumV/; 15343; 584] 
[2020-06-06 18:08:11+00:00; danilogentili; ‪Você não verá isso nos sites nerds brasileiros, mas nosso filme que já foi premiado no México, Reino Unido e Canadá também foi selecionado para festivais na Inglaterra, USA, Alemanha e Nova Zelândia. Ele foi foi lançado em DVD na Inglaterra e Japão e agora acaba de ser lançado em edição premium na França! Levamos o terror/comédia nacional muito longe! Mas você não lerá sobre isso por aqui, nem na mídia nem no meio cinematográfico brasileiro.; https://www.instagram.com/p/CBGmb_wn38S/; 30679; 962] 
[2020-06-02 20:43:04+00:00; danilogentili; VAI COMEÇAR A LIVE AQUI PARA O PEQUENO E MICRO EMPRESÁRIO!; https://www.instagram.com/p/CA8kurwnQFE/; 47275; 1796] 
[2020-05-26 17:36:44+00:00; danilogentili; Muito obrigado aos profissionais da saúde, policiais, bombeiros, caminhoneiros, caixas, porteiros de prédio, garis e motoboys :); https://www.instagram.com/p/CAqN-6GHz4W/; 38199; 968] 
[2020-05-26 00:18:54+00:00; danilogentili; Tamo de vorta! Hoje logo depois do Conexão Repórter!; https://www.instagram.com/p/CAoXUsmn1Eh/; 96367; 1477] 
[2020-05-25 17:22:54+00:00; danilogentili; A companhia de comunicação “Danilo Gentili Transmissões Mundiais” pede desculpas ao público pelo ocorrido na última live.; https://www.instagram.com/p/CAnnfDJHxX2/; 15773; 383] 
[2020-05-23 17:03:57+00:00; danilogentili; Hoje promete! Sigam nossos debatedores: @stallonedobrasil @maiconmask @diguinhocoruja @igorzismo @leolins @profyellowsun @etbilureal | Hoje 23:59 com debate mundial, concurso gatinho chatline e muitas supresas.; https://www.instagram.com/p/CAib9XYn4yd/; 14267; 656] 
[2020-05-21 18:06:51+00:00; danilogentili; Volta o trabalho volta a higiene pessoal. Breve #thenoitecomdanilogentili volta pro ar.; https://www.instagram.com/p/CAdZkQbHWp_/; 87381; 1911] 
[2020-05-21 15:56:55+00:00; danilogentili; Aos poucos voltando à rotina, mas com segurança. Indo trabalhar.; https://www.instagram.com/p/CAdKsk3HPL5/; 67548; 1438] 
[2020-05-20 18:38:39+00:00; danilogentili; Todo mundo trabalhando pra voltar logo com o The Noite!; https://www.instagram.com/p/CAa4WtaHCDv/; 30700; 819] 
[2020-05-19 03:01:14+00:00; danilogentili; ‪Advogado Paloma perde as estribeiras com o Sr. Stallone. ‬Lamentável que em pleno 2020 a gente ainda veja cenas como essa no debate público brasileiro‬.; https://www.instagram.com/p/CAWoNNFHtyz/; 23692; 688] 
[2020-05-17 16:31:55+00:00; danilogentili; Sigam @stallonedobrasil - a esperança da nação!; https://www.instagram.com/p/CAS7cHDnI2a/; 17289; 690] 
[2020-05-15 18:08:37+00:00; danilogentili; Você não vai ler isso no site dos bonitinhos que cobrem cultura pop e cinema no Brasil, mas o nosso filme tem tido uma ótima vida internacional e se tornado lá fora um dos terrores brasileiros mais assistido de todos os tempos. Aléms dos prêmios internacional saiu até em DVD em língua inglesa. E em breve a série estréia no @warnerchannelbrasil; https://www.instagram.com/p/CAN8_9yHg_1/; 17278; 400] 
[2020-05-13 16:52:03+00:00; danilogentili; Os caras vem, acusam de um crime, não justificam, e apenas banem! A vá tomá no rabo! Sem critério algum!; https://www.instagram.com/p/CAIqc-sH5dS/; 250820; 13712] 
[2020-05-12 00:35:12+00:00; danilogentili; O @leolins escreveu um quadrinho que se passa no cu dele, ou seja, no inferno. Corre pra assistir a live que ele ta fazendo! Abriu a venda! Corre no perfil do @leolins , assiste a live dele e adquira já o seu #whatthehell; https://www.instagram.com/p/CAEV6yLHM3_/; 8249; 162] 
[2020-05-11 17:58:53+00:00; danilogentili; Planejando o retorno do #thenoitecomdanilogentili com @joao_mesquita e grande elenco.; https://www.instagram.com/p/CADotJlHnvL/; 91320; 1490] 
[2020-05-09 22:52:05+00:00; danilogentili; None; https://www.instagram.com/p/B__Aq23nA7e/; 21896; 515] 
[2020-05-08 21:07:33+00:00; danilogentili; Aí é pesado...; https://www.instagram.com/p/B_8P4NQntlU/; 31880; 1197] 
[2020-05-06 16:04:40+00:00; danilogentili; O @carioca é fã do Stevie Wonder. Mas eu contei uma coisa a respeito do cantor que ele não sabia.; https://www.instagram.com/p/B_2iFybDx4Y/; 30945; 790] 
[2020-05-06 03:29:46+00:00; danilogentili; Teve de tudo nessa live: psicopata, gente no cativeiro, música, gente de todo canto do Brasil, bêbado, maconheiro... até @cesarmenotti @rogeriomorgado e @carioca entraram! Assista e confira a loucura muito louca.; https://www.instagram.com/p/B_1L6YFHXpx/; 21286; 623] 
[2020-05-06 00:20:50+00:00; danilogentili; Em breve a série no @warnerchannelbrasil ! Assista hoje mesmo o filme nas plataformas de streaming, incluindo Netflix.; https://www.instagram.com/p/B_03pcHHmsY/; 36786; 393] 
[2020-05-04 22:14:34+00:00; danilogentili; PNC do CONAR; https://www.instagram.com/p/B_yEYSfHZ5l/; 23091; 708] 
[2020-05-03 15:14:27+00:00; danilogentili; Ontem @paulo.kogos foi refutado pelo ET Bilú. Você concorda com esse argumento? Deixe sua opinião. Assista o debate na íntegra em YOUTUBE.COM/DANILOGENTILI; https://www.instagram.com/p/B_uvQ9UnbsB/; 25406; 768] 
[2020-05-02 22:42:21+00:00; danilogentili; Hoje teremos uma revelação bombàstica a respeito do @diguinhocoruja e @paulo.kogos falará sobre Ets e Catolicismo. O debate vai ferver. Teremos também recadinhos do coração, quadro novo com ET Bilú, Pulo do Gato com @professoryellowsun e muita informação e credibilidade. Se inscreva já no meu canal pra não perder!; https://www.instagram.com/p/B_s9_fdn8fO/; 17487; 444] 
[2020-04-30 03:53:14+00:00; danilogentili; ; https://www.instagram.com/p/B_lyw8nHjr1/; 25615; 759] 
