2020-11-15 12:37:07+00:00; eduardomoreira; ⭐️⭐️⭐️✊🏻✊🏻✊🏻 https://t.co/17iCogPYqg; 8; 16; 671; 2; https://twitter.com/eduardomoreira/status/1327953779162013702; None; https://twitter.com/GuilhermeBoulos/status/1327719939051020293
2020-11-15 12:35:53+00:00; eduardomoreira; Tocando a real! Bom voto galera!! https://t.co/zlzASCdOpB; 29; 180; 1697; 46; https://twitter.com/eduardomoreira/status/1327953468703842306; None; None
2020-11-14 00:03:16+00:00; eduardomoreira; @gcassiano12000 Bo sorte Cassiano!!! Segunda vamos celebrar!!; 1; 9; 62; 1; https://twitter.com/eduardomoreira/status/1327401676727267330; None; None
2020-11-13 00:47:45+00:00; eduardomoreira; Jessé Souza tocando a real na aula no ICL de sociologia https://t.co/HmanFWXU4i; 7; 51; 333; 11; https://twitter.com/eduardomoreira/status/1327050484763516928; None; None
2020-11-12 22:21:22+00:00; eduardomoreira; Em São Paulo 76% acham Bolsonaro Péssimo / Ruim / Regular. #somos70porcento; 35; 89; 1717; 15; https://twitter.com/eduardomoreira/status/1327013644941529091; None; None
2020-11-12 21:07:11+00:00; eduardomoreira; https://t.co/XSwfIyYJtz; 0; 5; 36; 0; https://twitter.com/eduardomoreira/status/1326994974932688899; None; None
2020-11-12 20:07:36+00:00; eduardomoreira; Quando o cara da prefeitura que te da o álcool em gel na entrada do parque coloca a mascara errada com o nariz pra fora alguma coisa ta errada; 4; 11; 534; 2; https://twitter.com/eduardomoreira/status/1326979980727889920; None; None
2020-11-12 16:13:10+00:00; eduardomoreira; O ministro já tem um plano para conter a inflação: matar o povo de fome... https://t.co/B2czqD6dwy; 152; 941; 6409; 145; https://twitter.com/eduardomoreira/status/1326920984767705089; None; None
2020-11-12 01:36:28+00:00; eduardomoreira; Concordo e venho ha tempos tambem batendo nessa tecla https://t.co/iVBkg1gwsD; 20; 72; 1277; 4; https://twitter.com/eduardomoreira/status/1326700356202602497; None; https://twitter.com/lauraabcarvalho/status/1326656257856577540
2020-11-11 17:21:57+00:00; eduardomoreira; Os memes que mostram o exército brasileiro como uma instituição que só pinta arvore e meio fio de branco mostram como Bolsonaro e os generais que se venderam pela sede de poder estão destruindo a reputação da instituição. Não é possível que os bons oficiais vão assistir calados; 161; 371; 4266; 64; https://twitter.com/eduardomoreira/status/1326575906912079875; None; None
2020-11-10 23:21:05+00:00; eduardomoreira; Bolsonaro chamando o povo de maricas, ameaçando atacar os EUA, provocando o Doria... Só pode querer dizer uma coisa: alguma votação importante essa noite pra tirar direito de trabalhador ou dar moleza pra banco. Ou talvez mais alguma revelação dos esquemas do filho  pra sair; 135; 857; 6950; 141; https://twitter.com/eduardomoreira/status/1326303897854619649; None; None
2020-11-10 20:56:17+00:00; eduardomoreira; Entrando agora num bate papo ao vivo com Marcelo Gleiser  https://t.co/9xuIj52XnO; 4; 4; 69; 3; https://twitter.com/eduardomoreira/status/1326267457414328321; None; None
2020-11-10 15:32:49+00:00; eduardomoreira; Passei os últimos anos ouvindo dos bolsonaristas que eu “torcia contra”. Só para ver esse presidente tosco comemorar a paralisação dos testes de uma vacina que pode salvar milhares de vidas.; 41; 203; 2626; 20; https://twitter.com/eduardomoreira/status/1326186053687009280; None; None
2020-11-08 21:59:50+00:00; eduardomoreira; Pra começar a semana com tudo!! Amanha as 10:00 no nosso canal do YouTube https://t.co/veZNnesmvq; 6; 6; 401; 2; https://twitter.com/eduardomoreira/status/1325558674388086785; None; None
2020-11-08 00:01:01+00:00; eduardomoreira; Sim, Biden tem pouco de progressista. É um Alckmin, um Rodrigo Maia deles. Mas foi quem derrubou Trump. Graças ao voto do povo negro, das mulheres, dos sindicatos, dos imigrantes. A eles, os que votaram em Biden e Harris, nosso abraço e carinho. A Trump, nosso “ja vai tarde”; 122; 410; 7004; 50; https://twitter.com/eduardomoreira/status/1325226783814377472; None; None
2020-11-06 15:25:19+00:00; eduardomoreira; Os terraplanistas apoiadores de trump estão aprendendo hoje na marra que o mundo da voltas...; 60; 239; 3871; 22; https://twitter.com/eduardomoreira/status/1324734616234790919; None; None
2020-11-05 17:45:21+00:00; eduardomoreira; Novos números de Nevada favoráveis a Biden. A vantagem que era mínima aumentou. Quase resolvido lá. Se der Biden, a super trumpista Fox, que foi a única que já deu Arizona pro Biden, vai ser obrigada a declarar a vitória do Biden antes de todas as outras. Ironias do destino...; 49; 184; 3562; 5; https://twitter.com/eduardomoreira/status/1324407467623723009; None; None
2020-11-02 19:31:21+00:00; eduardomoreira; Boff, Pastor Henrique e Frei David participando da live hoje, dia de finados. 🙏🏻⭐️ https://t.co/acB2RqpDig; 0; 2; 115; 1; https://twitter.com/eduardomoreira/status/1323346979615920132; None; None
2020-11-02 12:48:57+00:00; eduardomoreira; Começando live agora com Henry Bugalho no meu canal do YouTube .   https://t.co/bJJM1BGrH0; 4; 3; 109; 0; https://twitter.com/eduardomoreira/status/1323245712872738816; None; None
2020-10-31 16:32:22+00:00; eduardomoreira; O passar do tempo esta deixando claro: O auxilio é bom Bolsonaro é ruim... Ou péssimo; 11; 43; 885; 4; https://twitter.com/eduardomoreira/status/1322577161442787330; None; None
2020-10-31 15:47:00+00:00; eduardomoreira; 73% acham que Bolsonaro é Pessimo/Ruim/Regular no combate ao desmatamento  #somos70porcento; 25; 87; 1675; 10; https://twitter.com/eduardomoreira/status/1322565744899563520; None; None
2020-10-31 12:39:52+00:00; eduardomoreira; A performance ruim que os candidatos apoiados por Bolsonaro tem mostrado nas capitais mostra que o suposto “apoio” ao presidente é somente um apoio ao auxílio emergencial, Bolsonaro segue sendo uma figura mal vista (cada vez mais) e tóxica na maioria da população brasileira; 49; 266; 3397; 18; https://twitter.com/eduardomoreira/status/1322518650570575874; None; None
2020-10-29 18:24:04+00:00; eduardomoreira; Paulao é um grande amigo e um guerreiro na luta por um país mais justo. Pedimos ajuda aos que puderem 🙏🏻🙏🏻🙏🏻 https://t.co/XKcqDNExLV; 3; 13; 124; 0; https://twitter.com/eduardomoreira/status/1321880498898165760; None; https://twitter.com/RedYorkshireTea/status/1321865031018053633
2020-10-29 14:44:44+00:00; eduardomoreira; Boulos com 16% e ultrapassando Russomano na pesquisa espontânea  Lula e Ciro voltam a dialogar Decisão de Salles sobre restingas é derrubada no STF Decreto para privatizar SUS é revogado após pressão popular Tem dias que são realmente melhores que outros ✊🏻✊🏻✊🏻; 133; 837; 8678; 130; https://twitter.com/eduardomoreira/status/1321825301412929537; None; None
2020-10-26 21:39:24+00:00; eduardomoreira; Sábias palavras para estes tempos sombrios neopentecostais... https://t.co/UvqE5ZOShX; 2; 15; 256; 0; https://twitter.com/eduardomoreira/status/1320842489847336961; None; https://twitter.com/LeonardoBoff/status/1320727490189496320
2020-10-26 16:57:53+00:00; eduardomoreira; Famoso “dar com uma mão e tirar com a outra”. Podia depositar direto na conta dos mafiosos pra dar transparência no processo...  Legalização de jogos de azar vira bandeira no Senado para o Renda Cidadã https://t.co/m47RaRCBge; 13; 24; 195; 2; https://twitter.com/eduardomoreira/status/1320771645796220930; None; None
2020-10-25 12:02:30+00:00; eduardomoreira; Fico tentando imaginar o que se passa na cabeça de quem TEM confiança na equipe econômica... Confiança no que?!?! Sabem sequer dizer qual o plano?  Mais da metade das empresas não tem confiança na política econômica https://t.co/UjB4bb0AnZ; 36; 155; 1368; 16; https://twitter.com/eduardomoreira/status/1320334922926739458; None; None
2020-10-25 00:05:22+00:00; eduardomoreira; Vamos Gabriel!! https://t.co/DVEEXFbBEN; 10; 23; 420; 7; https://twitter.com/eduardomoreira/status/1320154449575292929; None; https://twitter.com/gcassianosp/status/1320138255510142976
