[2017-12-26 00:04:36+00:00; Biakicis; Não cansa de passar vergonha não, @gduvivier ? https://t.co/XPZZCtHQlV; 12; 24; 79; 7; https://twitter.com/Biakicis/status/945445200931024897; None; None]
[2017-12-25 23:51:51+00:00; Biakicis; @Zegeraldo2009 Feliz Natal!; 1; 0; 2; 0; https://twitter.com/Biakicis/status/945441993219563521; None; None]
[2017-12-25 23:03:01+00:00; Biakicis; Lula em forma pra roubar no pênalti e pra ir lá cadeia 2ª parte. https://t.co/Fb5xN1khwQ; 14; 89; 154; 5; https://twitter.com/Biakicis/status/945429703694913536; None; None]
[2017-12-25 22:28:22+00:00; Biakicis; Lula rouba até pra bater pênalti mas demonstra estar em boa forma pra ir pra cadeia.: https://t.co/uVISszns8Y via @YouTube; 0; 9; 37; 0; https://twitter.com/Biakicis/status/945420983011364864; None; None]
[2017-12-25 04:34:28+00:00; Biakicis; Pois eu achei ridicuaxa demissão do William Waack, abaixo o politicamente correto, prisão onde as pessoas estão se deixando aprisionar. https://t.co/yaoqgINHkY; 2; 7; 45; 0; https://twitter.com/Biakicis/status/945150729890738177; None; None]
[2017-12-25 03:08:44+00:00; Biakicis; Estivemos juntos nos últimos tempos e agora é hora de descansarmos ao lado daqueles que amamos. Um grande abraço carinhoso e um Feliz Natal! https://t.co/3EfgyStD3J; 12; 30; 208; 1; https://twitter.com/Biakicis/status/945129154537840641; None; None]
[2017-12-24 23:31:54+00:00; Biakicis; A todos os meus amigos, os melhores votos! https://t.co/viCbwM8WNM; 9; 19; 144; 0; https://twitter.com/Biakicis/status/945074584604303360; None; None]
[2017-12-24 17:55:20+00:00; Biakicis; #OlavoTemRazão O povo brasileiro chegou ao fundo do poço com a imbecilização generalizada. Sem educação decente jamais teremos uma chance de construir um país. https://t.co/gm8M4MeAVQ; 49; 185; 386; 20; https://twitter.com/Biakicis/status/944989885462732800; None; None]
[2017-12-24 17:43:39+00:00; Biakicis; Melhor cantor do ano é a prova de que o povo foi imbecilizado: https://t.co/RoxyyXanHR via @YouTube; 5; 17; 34; 0; https://twitter.com/Biakicis/status/944986945809190912; None; None]
[2017-12-24 14:32:10+00:00; Biakicis; @alefrotabrasil Feliz Natal !; 0; 0; 5; 0; https://twitter.com/Biakicis/status/944938757744222210; None; None]
[2017-12-24 13:47:03+00:00; Biakicis; Pois eu sim, sou punitivista. Fez, pagou. Não tem outro jeito, desde que o mundo é mundo. O resto é esse caos. https://t.co/Il6xnynQ4m; 4; 24; 68; 1; https://twitter.com/Biakicis/status/944927402815303680; None; https://twitter.com/JanainaDoBrasil/status/944619185010806784]
[2017-12-24 13:43:04+00:00; Biakicis; Pois é, mas a mídia trata como casos isolados, o que na verdade é um sistema podre. https://t.co/wmrRGpLSru; 0; 5; 11; 0; https://twitter.com/Biakicis/status/944926402557759488; None; https://twitter.com/PauloMartins10/status/944685030542016513]
[2017-12-23 23:41:48+00:00; Biakicis; A absurda política de ressocialização de criminosos às nossas custas: da nossa segurança, integridade física, vida e paz. https://t.co/C1ytzpGK2F; 12; 202; 275; 12; https://twitter.com/Biakicis/status/944714690244038657; None; None]
[2017-12-23 23:35:23+00:00; Biakicis; Bandido sai no saidão de Natal e estupra 2 mulheres.: https://t.co/1LuFILdifv via @YouTube; 5; 28; 35; 3; https://twitter.com/Biakicis/status/944713075722211328; None; None]
[2017-12-23 21:22:01+00:00; Biakicis; Ainda tem gente que defende essa política de saidão, indulto e outros bichos? O Brasil está acabado. https://t.co/4OkZWFaDKv; 1; 25; 80; 0; https://twitter.com/Biakicis/status/944679511014232064; None; https://twitter.com/PauloMartins10/status/944658481822527489]
[2017-12-23 13:58:16+00:00; Biakicis; Bom dia! Meu Rio. Como dói o que governantes inescrupulosos fizeram da cidade maravilhosa. https://t.co/jzD6gWcUfq; 6; 9; 65; 2; https://twitter.com/Biakicis/status/944567837779202054; None; None]
[2017-12-23 02:59:38+00:00; Biakicis; https://t.co/U1UFucM2Mj https://t.co/pCG8v6lk5L; 2; 18; 44; 0; https://twitter.com/Biakicis/status/944402087546368000; None; None]
[2017-12-22 21:30:53+00:00; Biakicis; Íntegra do decreto com 15 artigos de pura ofensa ao brasileiros que vivem sem cometer crimes. Brasileiro tão bonzinho... https://t.co/GdrRxy0mFR https://t.co/NBeccvykKM; 1; 24; 32; 1; https://twitter.com/Biakicis/status/944319353473945600; None; None]
[2017-12-22 21:13:02+00:00; Biakicis; Que MERDA! https://t.co/Qk0Qi2Otzv; 0; 6; 29; 0; https://twitter.com/Biakicis/status/944314863937114112; None; https://twitter.com/MoniqueCheker/status/944231875857526785]
[2017-12-22 13:17:46+00:00; Biakicis; Votos de Jair Bolsonaro para um Feliz Natal.: https://t.co/etSbycj5Z5 via @YouTube; 0; 2; 12; 0; https://twitter.com/Biakicis/status/944195256483971072; None; None]
[2017-12-22 13:16:43+00:00; Biakicis; Creio que diplomacia e MP também. https://t.co/HS4bYmuPbS; 0; 4; 15; 0; https://twitter.com/Biakicis/status/944194994382016512; None; None]
[2017-12-22 13:16:18+00:00; Biakicis; Votos de @jairbolsonaro para um Feliz Natal. https://t.co/fGenZoNcDJ; 3; 19; 86; 3; https://twitter.com/Biakicis/status/944194889893412869; None; None]
[2017-12-22 10:47:17+00:00; Biakicis; PQP. Leiam as falas dos “ especialistas” ouvidos pelo UOl. É desembrulhar o estômago! https://t.co/JaLXH2Hnoh; 1; 6; 13; 0; https://twitter.com/Biakicis/status/944157386817892354; None; None]
[2017-12-22 10:41:05+00:00; Biakicis; Que absurdo! Só tem ratos! https://t.co/UDBGEL0fY8; 0; 4; 19; 2; https://twitter.com/Biakicis/status/944155828059242496; None; https://twitter.com/AnaPaulaVolei/status/943945013175701505]
[2017-12-22 02:02:32+00:00; Biakicis; Servidores do governo de Minas protestam sem 13º, enquanto secretário de Planejamento, responsável pelo atraso ou calote recebe R$ 63 mil por mês, com manobra inconstitucional. Esse é o PT. https://t.co/sOAWOkbv6B; 21; 245; 336; 19; https://twitter.com/Biakicis/status/944025328548306944; None; None]
[2017-12-22 01:52:37+00:00; Biakicis; Servidores de Governo petista de MG sem 13º e secretário ganha R$ 63 mil.: https://t.co/3i3iIMd8Bp via @YouTube; 1; 5; 20; 0; https://twitter.com/Biakicis/status/944022835294502913; None; None]
[2017-12-22 00:28:24+00:00; Biakicis; @EricAmaral10 https://t.co/YIc3JuyANc; 1; 2; 5; 0; https://twitter.com/Biakicis/status/944001641749143552; None; https://twitter.com/Biakicis/status/943849490943021056]
[2017-12-22 00:25:51+00:00; Biakicis; Votos de @BolsonaroSP para nosso Natal. #AbaixooSaidao https://t.co/W9ggFnGNEB; 1; 49; 118; 1; https://twitter.com/Biakicis/status/944001000242909184; None; None]
[2017-12-22 00:23:16+00:00; Biakicis; Votos de Edu Bolsonaro para o nosso Natal. Que tal acabar com o saidão?: https://t.co/aS7A54hGMa via @YouTube; 1; 2; 15; 1; https://twitter.com/Biakicis/status/944000346946490368; None; None]
[2017-12-21 21:14:59+00:00; Biakicis; https://t.co/9M8Uis2N0n vergonhosa a posição do Brasil junto à ONU, mantendo-se alinhado aos palestinos CONTRA ISRAEL. #JerusalémCapitaldeIsrael; 15; 48; 97; 4; https://twitter.com/Biakicis/status/943952966024908800; None; None]
[2017-12-21 16:30:58+00:00; Biakicis; Credo! Todo cuidado é pouco. https://t.co/xoTv8LOqvJ; 1; 3; 7; 0; https://twitter.com/Biakicis/status/943881490135478272; None; https://twitter.com/UOL/status/943880573348663298]
[2017-12-21 16:20:42+00:00; Biakicis; Brasil, país onde a bandidagem se cria. https://t.co/PhiVaDTF0M; 1; 10; 24; 0; https://twitter.com/Biakicis/status/943878906230267909; None; https://twitter.com/mahlepesqueur/status/942945010990960640]
[2017-12-21 14:23:49+00:00; Biakicis; De um lado um louco,vaidoso,que apoia corruptos e atrapalha a Lava Jato;do outro,simpatizantes, advogados do PT, Foro de SP e agentes da NOM globalista de Soros,que também apoiam corruptos e também querem acabar com a Lava Jato e impedir que @jairbolsonaro seja candidato. É isso. https://t.co/sxJ4hH8gU4; 5; 33; 76; 2; https://twitter.com/Biakicis/status/943849490943021056; None; https://twitter.com/MBeatrizs/status/943848227748622336]
[2017-12-21 14:20:06+00:00; Biakicis; https://t.co/QgG2DUqT5p Quem seriam esses ministros do STF? https://t.co/BrdPRqWnNV; 2; 5; 10; 0; https://twitter.com/Biakicis/status/943848558423429120; None; None]
[2017-12-21 14:16:42+00:00; Biakicis; Via imprensa Viva. Vão vendo... https://t.co/GLePi1cSay; 3; 8; 18; 0; https://twitter.com/Biakicis/status/943847701728366593; None; None]
[2017-12-21 13:50:34+00:00; Biakicis; Em estratégia de guerra, nem tudo que parece é. CUIDADO! https://t.co/5kSHTcInN5; 0; 3; 6; 0; https://twitter.com/Biakicis/status/943841125953089538; None; https://twitter.com/Biakicis/status/943814453560266752]
[2017-12-21 12:07:13+00:00; Biakicis; Só se pode fazer propaganda da ideologia de gênero. Defenda a família tradicional e estás ferrado. É o caso. https://t.co/OzymPk9YMn; 2; 20; 51; 0; https://twitter.com/Biakicis/status/943815115350167553; None; https://twitter.com/PauloMello/status/943215492034191361]
[2017-12-21 12:05:53+00:00; Biakicis; Ledo engano. Um deles tem que cair mas que seja o mais perigoso e não o mais louco. https://t.co/gytiSEtK9K; 3; 1; 6; 0; https://twitter.com/Biakicis/status/943814781408038912; None; https://twitter.com/Bessiias/status/943811941545447424]
[2017-12-21 12:04:35+00:00; Biakicis; Aqui no caso, precisaríamos começar pelo mais perigoso e não pelo mais louco. https://t.co/TaQBpBv8Rx; 2; 2; 8; 1; https://twitter.com/Biakicis/status/943814453560266752; None; https://twitter.com/deaschlosser/status/943811271274745856]
[2017-12-21 12:02:52+00:00; Biakicis; Maneira mais rápida de matar o velhinho. https://t.co/bMrz2x4Juy; 1; 6; 11; 1; https://twitter.com/Biakicis/status/943814019219107840; None; https://twitter.com/bbcbrasil/status/943708528509964288]
[2017-12-21 05:00:17+00:00; Biakicis; Nada contra o impeachment do Gilmar.Mas contra deixar lá os demais q fatiaram o impeachment,mantém  Cesare Battisti no Brasil, não julgam políticos corruptos, afastaram a imunidade parlamentar do Bolsonaro,afastaram  o Cunha mas não o Renan, vão rever prisão 2° grau, e muitos etc; 37; 141; 363; 11; https://twitter.com/Biakicis/status/943707674272780288; None; None]
[2017-12-21 04:43:37+00:00; Biakicis; Lucky you! https://t.co/iNAaWQpO9K; 1; 4; 9; 0; https://twitter.com/Biakicis/status/943703480593715200; None; https://twitter.com/AnaPaulaVolei/status/943571443408830464]
[2017-12-21 04:19:34+00:00; Biakicis; Surra nele também? Eu preguei dar surra em quem, em 1° lugar? Em 2° lugar, pior não é o Gilmar, que não esconde mais seu caráter. Mais perigosos são os outros  que quase ninguém vê e estão a serviço da NOM e do Foro de SP. Preciso citar nomes? https://t.co/VBgvnF3nPY; 3; 7; 29; 1; https://twitter.com/Biakicis/status/943697426493435904; None; None]
[2017-12-21 03:56:26+00:00; Biakicis; E obgrau de cretinice só aumenta. Já não temos problemas reais, então, bora vestir pintos com maiôs https://t.co/0C0p0AZrKl; 0; 2; 12; 0; https://twitter.com/Biakicis/status/943691605478969345; None; https://twitter.com/marisa_lobo/status/943667505649897472]
[2017-12-21 00:46:47+00:00; Biakicis; Rsrsrs https://t.co/AEt4bQkE4G; 0; 3; 10; 0; https://twitter.com/Biakicis/status/943643879462637569; None; https://twitter.com/JoselitoMuller3/status/943607624578289665]
[2017-12-20 22:34:37+00:00; Biakicis; Procuradora municipal agride repórter da Band que questiona moralidade do aumento de vencimentos do: https://t.co/duvN9tfNMX via; 0; 16; 20; 1; https://twitter.com/Biakicis/status/943610620406005762; None; None]
[2017-12-20 22:20:49+00:00; Biakicis; Lula não quer entrar pra história como um inocente condenado. Corre esse risco não, Adriana Hinkel  mandou bem:” já entrou como o maior farsante” @AnaPaulaVolei @leandroruschel @jairbolsonaro @PauloMartins10 @BolsonaroSP @FlavioBolsonaro @carlosjordy @CarlosBolsonaro @OdeCarvalho https://t.co/FdcwSl2BhU; 0; 9; 24; 1; https://twitter.com/Biakicis/status/943607147128123398; None; None]
[2017-12-20 18:30:46+00:00; Biakicis; Vai vendo. Será que isso o Fux vai considerar FakeNews? https://t.co/OdxOvcDtv7; 3; 33; 58; 3; https://twitter.com/Biakicis/status/943549249953914881; None; None]
[2017-12-20 13:19:54+00:00; Biakicis; Sem limites esse povinho da esquerda. O que diz o MP desse desrespeito às instituições?  @AnaPaulaVolei @MPF_PGR @GABRlELPlNHElRO @leandroruschel https://t.co/bPS8Bj0KvG; 6; 18; 47; 1; https://twitter.com/Biakicis/status/943471018064084994; None; None]
[2017-12-20 13:08:46+00:00; Biakicis; Advogado de Maluf quer recorrer dessa decisão do Min Fachin. Processos no sistema processual brasileiro  nunca terminam, se você tem recursos pra pagar. https://t.co/ilWxp69eKy; 9; 29; 73; 5; https://twitter.com/Biakicis/status/943468217950928896; None; None]
[2017-12-20 05:45:42+00:00; Biakicis; Perfeito, @PauloMartins10 Esse povo vive fora da realidade. Não entende nada da vida. É assustador. https://t.co/tHG2EUEQpp; 0; 2; 14; 0; https://twitter.com/Biakicis/status/943356717185798144; None; https://twitter.com/PauloMartins10/status/943063111044681728]
[2017-12-20 05:29:18+00:00; Biakicis; Quem é Fux para julgar O que é ou não FakeNews? Por que não começa por si próprio? O cara afastou o art 53 da CF para tornar @jairbolsonaro réu por um crime que não cometeu! #FuxFakeNews https://t.co/I95cXDyIcY; 4; 13; 20; 0; https://twitter.com/Biakicis/status/943352587427958784; None; None]
