2020-09-07 12:49:53+00:00; MarcosBotelho; 7 de setembro. Há 198 anos, Brasil conquistava sua independência. Essa bandeira é de todos brasileiros e não só de um grupo de indivíduos que pensa de uma determinada maneira ou apoia determinadas agendas. Ser brasileiro é gerir a diversidade em torno de seus símbolos... https://t.co/akUqUzNDW5; 3; 3; 41; 0; https://twitter.com/MarcosBotelho/status/1302952227867369477; None; None
2020-09-05 22:02:36+00:00; MarcosBotelho; @Gustavoiennaco Sim, perdeu seu tempo; 0; 0; 0; 0; https://twitter.com/MarcosBotelho/status/1302366548192002048; None; None
2020-09-05 22:01:20+00:00; MarcosBotelho; @davidmassari Xadrez é 100% habilidade e 0% azar. Poker é uns 85% habilidade e 15% azar; 1; 0; 1; 0; https://twitter.com/MarcosBotelho/status/1302366228099608578; None; None
2020-09-05 02:06:35+00:00; MarcosBotelho; Já basta minha mulher me obrigando as coisas, não vou jogar uma parada que não posso simplesmente falar NÃO; 3; 0; 14; 0; https://twitter.com/MarcosBotelho/status/1302065560449097735; None; None
2020-09-05 02:06:35+00:00; MarcosBotelho; Fui jogar dominó e quando me deram as peças eu falei: to fora essa rodada.  Os caras falaram que não é assim... desisti na hora!; 1; 0; 17; 0; https://twitter.com/MarcosBotelho/status/1302065558515527681; None; None
2020-09-05 02:06:34+00:00; MarcosBotelho; Pela lógica o dominó é mais jogo de azar que o Poker; 2; 0; 17; 0; https://twitter.com/MarcosBotelho/status/1302065557345366016; None; None
2020-09-05 02:06:34+00:00; MarcosBotelho; Em em grupo de WhatsApp um amigo me falou que sua igreja deixa jogar dominó, mas não vê com bons olhos o Poker; 6; 0; 63; 2; https://twitter.com/MarcosBotelho/status/1302065555780796416; None; None
2020-09-04 22:34:20+00:00; MarcosBotelho; Cara, o nosso presidente só pegou as coisas ruins dos republicanos americanos, não pegou uma coisa boa deles!; 3; 4; 93; 0; https://twitter.com/MarcosBotelho/status/1302012146906169349; None; None
2020-09-04 22:32:09+00:00; MarcosBotelho; O capitalismo sempre vence as classes! https://t.co/fWugCM4aWU; 0; 0; 1; 0; https://twitter.com/MarcosBotelho/status/1302011594872889347; None; https://twitter.com/Quadroscat/status/1301887511350964227
2020-09-04 17:40:12+00:00; MarcosBotelho; Pois é https://t.co/rcbok5JhX0; 2; 1; 11; 0; https://twitter.com/MarcosBotelho/status/1301938126059962368; None; https://twitter.com/timkellernyc/status/1301886237360484359
2020-09-04 13:59:39+00:00; MarcosBotelho; Ano passado um monte de pessoas da minha igreja pegaram sarampo. Uma doença que estava controlada, mas que por causa de pessoas de mente pequena que não vacinaram seus filhos voltou a matar.; 0; 7; 102; 0; https://twitter.com/MarcosBotelho/status/1301882620310159370; None; None
2020-09-04 13:24:12+00:00; MarcosBotelho; Se seu filho estuda em escola particular, exija que a escola só aceite matrículas com a carteirinha de vacinação em dia.; 2; 7; 98; 0; https://twitter.com/MarcosBotelho/status/1301873701693140992; None; None
2020-09-04 11:58:53+00:00; MarcosBotelho; @rebeccacirino @Quadroscat Sim, tem que ser especialista para ser eficaz, exatamente isso; 1; 0; 0; 0; https://twitter.com/MarcosBotelho/status/1301852229645873152; None; None
2020-09-02 17:26:39+00:00; MarcosBotelho; 3 coisas sobre as máscaras  1- eu ñ acredito em sua eficácia em leigos como nós.  2- eu odeio usá-las  3- uso do mesmo jeito, pois em pandemias pouco importa sua ou minha opinião pessoal; 4; 4; 117; 0; https://twitter.com/MarcosBotelho/status/1301209937276788738; None; None
2020-08-31 16:28:24+00:00; MarcosBotelho; Se lembrem 3 em cada 10 adultos são analfabetos funcionais no Brasil. Isso quer dizer que sempre 1/3 vai comentar seus posts sem ter entendido de fato o que vc realmente escreveu!   https://t.co/lT8L477duU; 0; 4; 29; 0; https://twitter.com/MarcosBotelho/status/1300470503845625856; None; None
2020-08-31 16:22:40+00:00; MarcosBotelho; @tarrais @filipegabrieI Era só o que faltava, defender a criação é ser liberal, essa turma não leu o Pentateuco???; 1; 0; 64; 0; https://twitter.com/MarcosBotelho/status/1300469061906829312; None; None
2020-08-31 15:39:42+00:00; MarcosBotelho; O grande erro de boa parte dos pastores reformados em 2020 aqui no Brasil!   https://t.co/XNf09mfrec; 1; 0; 10; 0; https://twitter.com/MarcosBotelho/status/1300458247552462848; None; None
