[2017-12-21 20:30:03+00:00; BolsonaroSP; De nada adianta ter 1,4milhões de seguidores no facebook se ele te restringe tanto que outra página com 128.000 seguidores tem mais alcance que a sua... - com @carteiroreaca  #foicebook https://t.co/3Q4VUBByHA; 28; 80; 461; 6; https://twitter.com/BolsonaroSP/status/943941656939847681; None; None]
[2017-12-21 17:01:29+00:00; BolsonaroSP; “Não existe mais saber ou menos saber, existem saberes diferentes”. Essa frase de Paulo Freire foi a base para desconstruir a autoridade do professor e o método de avialiação das escolas (provas e testes). Daí veio a “brilhante” aprovação automática. O resultado está aí. https://t.co/yukYwNHzPC; 55; 185; 547; 16; https://twitter.com/BolsonaroSP/status/943889168790417408; None; None]
[2017-12-21 16:52:14+00:00; BolsonaroSP; Veja o tratamento carinhoso,calcado nos direitos humanos,dado por um juiz nos EUA a um assassino de policial.Já no Brasil qq pé chinelo xinga juiz na cara dele em audiência de custódia. Por isso entrei c/projeto p acabar c/ aud. de custódia: PDC 317/15. https://t.co/3vLqaCnNB5 https://t.co/bUbTxSMRky; 116; 853; 2178; 75; https://twitter.com/BolsonaroSP/status/943886842763644930; None; None]
[2017-12-21 13:25:34+00:00; BolsonaroSP; Amanhã de manhã estarei no Anhembi com @jairbolsonaro na formaturas dos novos SARGENTOS da POLÍCIA MILITAR DE SÃO PAULO 👏  *Só acredite em agendas que divulgamos em nossas redes 😉👍 https://t.co/7LUqpssxpf; 25; 102; 616; 3; https://twitter.com/BolsonaroSP/status/943834832546779137; None; None]
[2017-12-21 13:09:50+00:00; BolsonaroSP; PT inaugurou era de corrupção bilionária; maioria dos medalhões metidos em esqueminhas; criminoso matando inocente por bel prazer; serviços públicos sem estrutura; mas o problema é... Jair Bolsonaro, que não está em nada disso.  Já sabe né? Atacou JB &gt; está em algum esquema. https://t.co/eL6L6uvq0v; 20; 101; 351; 2; https://twitter.com/BolsonaroSP/status/943830872872095745; None; None]
[2017-12-21 10:45:53+00:00; BolsonaroSP; Morte sempre haverá. A diferença é que com o desarmamento quem morre é sempre o inocente, já com o armamento há uma chance do inocente sobreviver.  Eu escolho o cidadão de bem. E você?; 134; 963; 4011; 51; https://twitter.com/BolsonaroSP/status/943794646483918848; None; None]
[2017-12-20 16:29:25+00:00; BolsonaroSP; @Adrianodovale 😂😂😂; 0; 0; 5; 0; https://twitter.com/BolsonaroSP/status/943518712816168960; None; None]
[2017-12-20 16:22:52+00:00; BolsonaroSP; Para variar, estão se borrando, seja lá quem for! 😂 https://t.co/0YR4zMFcii; 14; 45; 272; 4; https://twitter.com/BolsonaroSP/status/943517064769261575; None; https://twitter.com/FlavioBolsonaro/status/943515710222946304]
[2017-12-20 16:21:48+00:00; BolsonaroSP; @FlavioBolsonaro Estão desesperados! Seja lá quem for! 😂😂😂; 10; 23; 332; 0; https://twitter.com/BolsonaroSP/status/943516795671019520; None; None]
[2017-12-20 14:35:51+00:00; BolsonaroSP; Será que o antagonista tem razão? Só se você ignorar o conteúdo povo numa eleição... .  .  .   https://t.co/WZV55KL5iM https://t.co/aIt6ZHZwwE; 107; 78; 403; 7; https://twitter.com/BolsonaroSP/status/943490132073730054; None; None]
[2017-12-20 14:23:14+00:00; BolsonaroSP; “Cárie bucal pode gerar bebê prematuro” (link abaixo). Não me surpreendo ao ver que após JB dizer isso alguns venham contestar a ciência apenas para ridicularizá-lo. Vimos isso com o nióbio e grafeno já.  https://t.co/EIK2Nr7pPd; 45; 166; 736; 7; https://twitter.com/BolsonaroSP/status/943486956243161088; None; None]
[2017-12-20 11:38:55+00:00; BolsonaroSP; @mvsmotta Não entendendo esse preconceito em diferenciar os substantivos pelo gênero. Por que ela não simplesmente usa o “X” e dps a palavra decide o que quer ser qnd crecer? No exemplo da frase ficaria: Xs agressorXs... Povinho atrasado (ironia, ok) 😂; 1; 0; 7; 0; https://twitter.com/BolsonaroSP/status/943445605422194688; None; None]
[2017-12-20 11:36:05+00:00; BolsonaroSP; Meu Deus! Me ajude! Tenha piedade de mim! Como um ser diz que os bandidos só se armam pq a polícia tb é armada? Por essa lógica, se a polícia se desarmar os bandidos tb o farão.  Quero acabar o ano feliz, mas aí complica!; 148; 749; 3411; 35; https://twitter.com/BolsonaroSP/status/943444892516274176; None; None]
[2017-12-20 10:41:07+00:00; BolsonaroSP; Depois de mais um aumento na TAXA EXTRA na conta de luz do Brasil, para amanhã previsão de aumento também na TAXA DE ILUMINAÇÃO PÚBLICA no Rio de Janeiro. O que acham? Sua opinião e participação é fundamental. https://t.co/a7tft9pKA2; 28; 46; 230; 3; https://twitter.com/BolsonaroSP/status/943431062008541184; None; https://twitter.com/CarlosBolsonaro/status/943189531184025600]
[2017-12-20 02:28:10+00:00; BolsonaroSP; Deputados que já apoiam Bolsonaro! https://t.co/EWGFwke8X9; 36; 319; 1170; 15; https://twitter.com/BolsonaroSP/status/943307006479405056; None; None]
[2017-12-20 02:24:00+00:00; BolsonaroSP; ARQUIVADO PROJETO QUE SUSTARIA PORTE  DE ARMA DOS ATIRADORES. Votei favorável ao relatório do Dep.Cajado (DEM-BA) q rejeitou projeto do Dep. Molon q visava sustar os efeitos da portaria 28-COLOG (porte Atiradores). A guerra segue, pois temos que colocar na lei o porte dos CACs! https://t.co/aHNaQuu8Gu; 13; 98; 469; 2; https://twitter.com/BolsonaroSP/status/943305957928591360; None; None]
[2017-12-20 02:22:23+00:00; BolsonaroSP; ARQUIVADO PROJETO QUE SUSTARIA PORTE  DE ARMA DOS ATIRADORES. Votei favorável ao relatório do Dep.Cajado (DEM-BA) q rejeitou projeto do Dep. Molon q visava sustar os efeitos da portaria 28-COLOG (porte Atiradores). A guerra segue, pois temos que colocar na lei o porte dos CACs! https://t.co/FP9f2kgpkO; 2; 41; 212; 0; https://twitter.com/BolsonaroSP/status/943305548157595648; None; None]
[2017-12-19 22:17:59+00:00; BolsonaroSP; DIFICULDADE NA GOVERNABILIDADE? SERÁ?   Para quem diz que Jair Messias Bolsonaro não  tem apoio no Congresso lhes mostro alguns apoios espontâneos, fora outros que estamos costurando num silencioso trabalho de bastidores. O momento é de mudança! https://t.co/ErYwIC2Orr; 31; 233; 717; 8; https://twitter.com/BolsonaroSP/status/943244044859305984; None; None]
