2020-12-05 23:07:56+00:00; DaniloGentili; @viniaugustop Os caras repetem o que convem  E passam pano para quem convem  Nada de novo aqui no front; 1; 1; 63; 0; https://twitter.com/DaniloGentili/status/1335360286757449728; None; None
2020-12-05 23:05:20+00:00; DaniloGentili; @Maraisa Eu sou um cara cheio de valores; 4; 0; 75; 0; https://twitter.com/DaniloGentili/status/1335359631678464001; None; None
2020-12-05 23:00:35+00:00; DaniloGentili; Eu tô com medo de abrir esse vídeo e ver o seu pau. Você mostrou o pau na live, @omarciusmelhem ? https://t.co/k9xpXaOX1y; 192; 156; 5663; 21; https://twitter.com/DaniloGentili/status/1335358435806863360; None; https://twitter.com/omarciusmelhem/status/1335175994345451520
2020-12-05 22:58:08+00:00; DaniloGentili; @PetherPMR S2; 1; 0; 47; 0; https://twitter.com/DaniloGentili/status/1335357819227430914; None; None
2020-12-05 22:53:37+00:00; DaniloGentili; @andrezadelgado @TiaguinhoLG @art4mis_ “Bastao da moral”  Ainda bem que além de juíza não é professora de português também.  Bom. Não respondeu argumento nenhum. Só xingou e acusou de “extrema violência contra a mulher”  Fraquíssima.  Fraquinha desse jeito só vai subir na vida fazendo politicagem barata mesmo.   Tchau; 17; 0; 265; 2; https://twitter.com/DaniloGentili/status/1335356683103645696; None; None
2020-12-05 22:50:41+00:00; DaniloGentili; @urubak Ahhahahahha; 0; 0; 61; 0; https://twitter.com/DaniloGentili/status/1335355944033771520; None; None
2020-12-05 22:50:30+00:00; DaniloGentili; @DjalmaO44225280 Putz  É a típica vitimista de shopping center; 4; 0; 207; 0; https://twitter.com/DaniloGentili/status/1335355897980268547; None; None
2020-12-05 22:48:55+00:00; DaniloGentili; @art4mis_ @andrezadelgado Zzzzzzzzzzzz; 1; 0; 12; 0; https://twitter.com/DaniloGentili/status/1335355501819924480; None; None
2020-12-05 22:47:24+00:00; DaniloGentili; @andrezadelgado @art4mis_ No. Voce postou manchetes de jornais me condenando. E eu questionei: Lula tb tambem manchetes sobre condenaçao dele e vc mesmo assim o declara inocente.  Logo pq eu nao poderia ser inocente tambem dessas que vc postou?  Vc nao respondeu.  Se esquivou metendo meme.; 5; 0; 35; 0; https://twitter.com/DaniloGentili/status/1335355117994975232; None; None
2020-12-05 22:45:52+00:00; DaniloGentili; @_noobz Eu acho legal expor as incoerências. Pelo menos as pessoas mais honestas deixam de leva-la a sério.; 6; 0; 197; 0; https://twitter.com/DaniloGentili/status/1335354731301056516; None; None
2020-12-05 22:42:42+00:00; DaniloGentili; @andrezadelgado @TiaguinhoLG @art4mis_ Ninguem acusou o Melhem de estupro. Foi assedio sexual e moral.  Felizmente voce é apenas uma twiteirazinha de uma bolha chata de militante chato e pau no cu  Se fosse juíza ou tivesse alguma autoridade estaríamos todos bem fudidos  Espero que vc amadureça Ou que daí não passe; 11; 0; 365; 2; https://twitter.com/DaniloGentili/status/1335353934509199368; None; None
2020-12-05 22:39:16+00:00; DaniloGentili; As minhas 2 EXTREMAS VIOLÊNCIAS CONTRA A MULHER segundo ela:  1) Rasgar censura oficial, passar no saco e devolver   2) Pegar a noticia do Mundo Bizarro: Mulher que entrar no Guiness como maior doadora de leite do mundo” e dizer “Kid Bengala entrou no Guiness na mesma categoria” https://t.co/7KilHAVQK9; 85; 65; 2835; 10; https://twitter.com/DaniloGentili/status/1335353072525119489; None; https://twitter.com/andrezadelgado/status/1335350601081737217
2020-12-05 22:34:54+00:00; DaniloGentili; @art4mis_ @andrezadelgado Voltemos ao foco. 1) Ela disse que no caso Melhem nao devemos nos deixar levar pelo “imediatismo da internet” 2) Perguntei pq qdo eu conto uma piada vcs se deixam pelo “imediatismo da net” e apedrejam sem nem me conhecer de fato  ?; 5; 0; 47; 0; https://twitter.com/DaniloGentili/status/1335351974095704064; None; None
2020-12-05 22:28:56+00:00; DaniloGentili; @andrezadelgado Sim. Fora PT. E dai?  Comemorei a saida desse lixo  Isso foi um pecado pra vc? Devo ser punido por isso?; 16; 1; 99; 5; https://twitter.com/DaniloGentili/status/1335350471905730560; None; None
2020-12-05 22:27:48+00:00; DaniloGentili; @Diiascei @andrezadelgado No. Tudo comecou com ela dizendo que devemos ter cuidado ao julgar e devemos fugir do imediatismo da internet  E entao eu questionei pq qdo um cara conta uma piada correm lincha-lo no “imediatismo da internet” mesmo sem conhecer o cara  Vc deve ter pego a discussao andando; 2; 0; 18; 0; https://twitter.com/DaniloGentili/status/1335350184939806720; None; None
2020-12-05 22:26:07+00:00; DaniloGentili; @_xulianar Se ele for hetero-branco-rico certamente; 4; 0; 187; 1; https://twitter.com/DaniloGentili/status/1335349762921521153; None; None
2020-12-05 22:24:16+00:00; DaniloGentili; Claro. Os dois casos são idênticos. Agora você me pegou.  Só toma cuidado pra não ver um filme de assassinato e ligar pra polícia depois pedindo pra penderem o ator por homicídio.  Uma pessoa inteligente como vc poderia cometer esse equívoco sem querer. É só uma dica.  Abraços https://t.co/HXsc981A2u; 103; 54; 2775; 9; https://twitter.com/DaniloGentili/status/1335349295374102528; None; https://twitter.com/andrezadelgado/status/1335347502468493312
2020-12-05 22:17:29+00:00; DaniloGentili; @emmanuelmatoss @aguedescartoon @andrezadelgado @gpiaulino Eu nao votei no bolsonaro Consulte o dia da votacao Eu nao compareci  Mas se isso ajuda a sua narrativa na bolha continua nessa; 110; 1; 304; 67; https://twitter.com/DaniloGentili/status/1335347588338429956; None; None
