2019-09-23 02:03:34+00:00; antonioprata; Me pergunto se ele próprio entende o que escreve. https://t.co/OqSwnW943G; 312; 23; 9; 1; https://twitter.com/antonioprata/status/1175953823002767360; None; https://twitter.com/CarlosBolsonaro/status/1175862408826490886
2019-09-22 23:47:25+00:00; antonioprata; “FranGoesa” e “arroz-bife”: duas palavras que não podem faltar no cardápio infantil.; 60; 2; 0; 1; https://twitter.com/antonioprata/status/1175919559552974855; None; None
2019-09-20 23:29:35+00:00; antonioprata; O rádio dentro da minha cabeça tocou o dia inteiro, na voz dos Novos Baianos: “Greta, Greta, Gretinha”.; 195; 6; 15; 2; https://twitter.com/antonioprata/status/1175190296176541697; None; None
2019-09-19 18:28:43+00:00; antonioprata; - Sabe qual a diferença entre os cristãos e os ateus? - Qual? - É que os cristãos acreditam no céu e no inferno.  - E os ateus? - Só no inferno.; 366; 15; 34; 3; https://twitter.com/antonioprata/status/1174752192722604032; None; None
2019-09-17 16:33:43+00:00; antonioprata; https://t.co/HJKINyplt2; 54; 2; 3; 2; https://twitter.com/antonioprata/status/1173998478311206913; None; None
2019-09-14 17:07:48+00:00; antonioprata; @sempreumpapo @sesc24demaio @humbertowerneck @BlogdoJuca @sescsp @MarceloDunlop; 1; 1; 0; 0; https://twitter.com/antonioprata/status/1172919890493227008; None; None
2019-09-12 14:50:18+00:00; antonioprata; Engatando uma quinta na marcha à ré. (Marcha a réu também soa apropriado). https://t.co/4FU6nKv852; 134; 6; 19; 2; https://twitter.com/antonioprata/status/1172160513356247047; None; None
2019-09-11 16:07:32+00:00; antonioprata; @LeoTuel Valeu pela lembrança, Leo! Vc só se esqueceu da borda recheada. Ícones do Real, fim da inflação, começo da melhora que já parece passado distante...; 2; 1; 0; 0; https://twitter.com/antonioprata/status/1171817558913290240; None; None
2019-09-11 16:04:48+00:00; antonioprata; Hoje faz 18 anos que o horror do WTC mudou o mundo para pior. Basta olhar em volta para perceber que o terror atingiu a maioridade.; 271; 4; 21; 1; https://twitter.com/antonioprata/status/1171816872397946880; None; None
2019-09-11 00:46:42+00:00; antonioprata; @denise33145850 Sim, ninguém nega este fato.; 0; 1; 0; 0; https://twitter.com/antonioprata/status/1171585826897240064; None; None
2019-09-10 01:32:09+00:00; antonioprata; Quem ainda acha que a democracia brasileira não está correndo um risco seríssimo deve estar vivendo em Plutão. (Tuíte citado agora no Roda Viva). https://t.co/7y2GXZnk0k; 280; 6; 27; 1; https://twitter.com/antonioprata/status/1171234875850051584; None; https://twitter.com/CarlosBolsonaro/status/1171201933891244033
2019-09-09 04:48:21+00:00; antonioprata; @annavirginia Hahahaha.; 3; 0; 0; 0; https://twitter.com/antonioprata/status/1170921861481402368; None; None
2019-09-09 01:55:03+00:00; antonioprata; Estava lendo “Tio Vania” do Tchekhov e imaginei que em breve a peça será censurada. “Tio com nome de mulher? Que porra é essa?! Ideologia de gênero?!”.; 576; 19; 39; 4; https://twitter.com/antonioprata/status/1170878249574031360; None; None
2019-09-09 00:40:36+00:00; antonioprata; @vsplacebo Eu não acho nem a wenda nem o nome dela, como vc viu... valeu!; 2; 0; 0; 0; https://twitter.com/antonioprata/status/1170859514075201537; None; None
2019-09-08 02:12:13+00:00; antonioprata; Este tuíte está vestido de preto.; 459; 4; 21; 2; https://twitter.com/antonioprata/status/1170520184819507201; None; None
2019-09-06 23:23:17+00:00; antonioprata; Boa, @felipeneto !!!!; 136; 1; 2; 0; https://twitter.com/antonioprata/status/1170115280149852160; None; None
2019-09-06 15:32:26+00:00; antonioprata; Segundo Daniel Louzada, dono da livraria Da Vinci, fiscais da prefeitura do Rio percorrem a Bienal do Livro avisando que haverá “vistoria” para averiguar se há livros com conteúdo “erótico” ou “homossexual” que não estejam lacrados e com aviso de “conteúdo impróprio”.; 1152; 98; 322; 223; https://twitter.com/antonioprata/status/1169996789308633088; None; None
2019-09-06 02:51:43+00:00; antonioprata; Lugar mais bonito do mundo, em Petrópolis. Pousada da Alcobaça, da minha avó: https://t.co/FZBe6cV71N; 44; 3; 1; 0; https://twitter.com/antonioprata/status/1169805348250824704; None; None
2019-09-05 04:20:04+00:00; antonioprata; https://t.co/kIPaWrfHjV; 29; 1; 1; 0; https://twitter.com/antonioprata/status/1169465193132417024; None; None
2019-09-05 03:30:09+00:00; antonioprata; Com que roupa (preta) que eu vou Pro samba que você me convidou?; 479; 7; 52; 1; https://twitter.com/antonioprata/status/1169452632504709122; None; None
2019-09-02 02:36:20+00:00; antonioprata; Meu celular foi roubado e quem roubou mudou minhas senhas do GMAIL. Se aparecerem mensagens estranhas aqui nas próximas horas, saibam que a conta foi clonada. Se alguém souber que cuidados posso tomar além de suspender o EMEI na operadora e fazer BO, aceito dicas. Valeu; 127; 16; 5; 0; https://twitter.com/antonioprata/status/1168351924174938113; None; None
2019-08-31 16:16:55+00:00; antonioprata; @gmadalosso @matthewshirts Esse yankee sabe das coisas; 2; 1; 0; 0; https://twitter.com/antonioprata/status/1167833654476910592; None; None
2019-08-31 16:06:42+00:00; antonioprata; @matthewshirts honrando a tradição do Bourdain, https://t.co/f6OZuTh0fZ; 4; 2; 0; 2; https://twitter.com/antonioprata/status/1167831083129479169; None; None
2019-08-29 05:10:11+00:00; antonioprata; @pirescarol @NewYorker Uau! 👏👏👏👏👏; 4; 0; 0; 0; https://twitter.com/antonioprata/status/1166941090135576578; None; None
2019-08-27 22:14:34+00:00; antonioprata; @ChicoLins @andrehernan @anterogreco @BernardoMF @romulomendonca @everaldomarques @KennedyAlencar @camposmello @brumelianebrum @monicabergamo @miltonjung @arielpalacios @gugachacra @xicosa @JamilChade Valeu!; 1; 0; 0; 0; https://twitter.com/antonioprata/status/1166474111813640193; None; None
2019-08-27 01:41:27+00:00; antonioprata; Toda solidariedade à @veramagalhaes , mais uma jornalista difamada pela turba infame da atual demência nacional por fazer competentemente seu trabalho.; 261; 7; 7; 1; https://twitter.com/antonioprata/status/1166163786115555328; None; None
2019-08-23 18:39:31+00:00; antonioprata; Tá sendo muito bom ver o mundo descobrindo, perplexo, a tosquice do Bolsonaro. É aquele momento do filme de terror em que os outros acreditam que vc não estava louco e que há mesmo um fantasma assobrando a casa. E aí se unem, todos, contra a assombração.; 3432; 89; 645; 49; https://twitter.com/antonioprata/status/1164970438533046273; None; None
2019-08-23 12:49:27+00:00; antonioprata; @martabrenner1 @mvitorodrigues Na química; 0; 0; 0; 0; https://twitter.com/antonioprata/status/1164882341334044679; None; None
2019-08-23 03:16:01+00:00; antonioprata; @martabrenner1 @mvitorodrigues Não moro no campo. E tampouco preciso ter tomado estricnina pra saber que é uma ideia, digamos, ruim.; 0; 1; 0; 0; https://twitter.com/antonioprata/status/1164738031695171586; None; None
2019-08-23 03:05:41+00:00; antonioprata; @fariani Tristeza; 1; 0; 0; 0; https://twitter.com/antonioprata/status/1164735433814740992; None; None
