[2020-08-26 01:45:22+00:00; cristilobo; @Leoni_a_jato A proporcionalidade do financiamento de campanhas e também de tempo de televisão se refere a percentagem de candidatas e candidatos negros lançados pelo partido.; 1; 1; 12; 1; https://twitter.com/cristilobo/status/1298436342389649408; None; None] 
[2020-08-26 01:32:56+00:00; cristilobo; Importante decisão do TSE: partidos deverão distribuir recursos dos fundos eleitoral e partidário proporcionalmente entre candidatas e candidatos negros. Os partidos não queriam isso, alegando interferência do Judiciário. Vai valer a partir de 2022.; 60; 36; 393; 5; https://twitter.com/cristilobo/status/1298433211698225155; None; None] 
[2020-08-26 01:23:26+00:00; cristilobo; Gente, a @KissmeMorrison é muito competente... To certa @thalitaferreira ?; 7; 3; 27; 0; https://twitter.com/cristilobo/status/1298430820827443200; None; None] 
[2020-08-25 21:02:25+00:00; cristilobo; O programa Casa Verde Amarela é destinado especialmente às regiões Norte e Nordeste, regiões mais pobres e onde Bolsonaro quer melhorar seus índices de aprovação. Para os de renda menor, juros mais baixos. Isso está certo. É uma espécie de reforma do Minha Casa, Minha Vida.; 98; 14; 282; 8; https://twitter.com/cristilobo/status/1298365135875186689; None; None] 
[2020-08-25 20:58:43+00:00; cristilobo; Estamos juntos! Vamos lá? https://t.co/CdkX03Tkxt; 7; 2; 39; 0; https://twitter.com/cristilobo/status/1298364203582005250; None; https://twitter.com/gcamarotti/status/1298361545894682624] 
[2020-08-24 21:06:29+00:00; cristilobo; Vamos lá! E tem também o pacote de medidas econômicas e sociais prometido pelo governo - só que foi adiado... https://t.co/9GlUBjhrcm; 53; 5; 67; 0; https://twitter.com/cristilobo/status/1298003773084905472; None; https://twitter.com/gcamarotti/status/1297999852790517765] 
[2020-08-24 20:58:28+00:00; cristilobo; @AbrahimNadia @evangelicodees1 @henriolliveira @jairbolsonaro Finesse...; 3; 0; 1; 0; https://twitter.com/cristilobo/status/1298001752294395915; None; None] 
[2020-08-24 15:49:31+00:00; cristilobo; @ROMEORA12323981 @jairbolsonaro Sim, graças a Deus.; 2; 0; 1; 0; https://twitter.com/cristilobo/status/1297924005958213633; None; None] 
[2020-08-24 15:21:43+00:00; cristilobo; A propósito, Presidente @jairbolsonaro , por que sua esposa, Michele, recebeu R$ 89 mil de Fabrício Queiroz?; 4677; 2204; 24686; 279; https://twitter.com/cristilobo/status/1297917006214291457; None; None] 
[2020-08-20 00:22:23+00:00; cristilobo; Líderes do Governo informam que será decisão pessoal do presidente Bolsonaro fixar o valor do auxílio emergencial na transição até o Renda Brasil - que pode ir até dezembro. Área econômica puxa pra um lado e a política para o outro.; 42; 21; 163; 4; https://twitter.com/cristilobo/status/1296241131982856192; None; None] 
[2020-08-19 23:55:48+00:00; cristilobo; Quero agradecer a @kissmeMorrison! Adorei! https://t.co/uh436TsUKt; 28; 3; 164; 1; https://twitter.com/cristilobo/status/1296234441942204417; None; https://twitter.com/FCNatuzaNery/status/1296221921017823233] 
[2020-08-19 23:35:00+00:00; cristilobo; @SuziTaussig Emoção!!! Kkk Feliz com a Homenagem..,; 1; 0; 1; 0; https://twitter.com/cristilobo/status/1296229207098511361; None; None] 
[2020-08-19 23:28:49+00:00; cristilobo; @jancpires Não, acho que o sinal da internet estava ruim!; 1; 0; 0; 0; https://twitter.com/cristilobo/status/1296227650558660610; None; None] 
[2020-08-19 23:15:15+00:00; cristilobo; @ivy14845584 Um beijo pra você!🥰; 0; 0; 2; 0; https://twitter.com/cristilobo/status/1296224237838106624; None; None] 
[2020-08-19 23:10:50+00:00; cristilobo; Muito delizmcomna homenagem! https://t.co/uh436TsUKt; 22; 3; 89; 1; https://twitter.com/cristilobo/status/1296223127484211202; None; https://twitter.com/FCNatuzaNery/status/1296221921017823233] 
[2020-08-19 22:36:36+00:00; cristilobo; Achei muito legal essa homenagem. Obrigada a @KissMorrisson 🌹🌹🌹 https://t.co/ghQ8nwPjZs; 5; 0; 15; 0; https://twitter.com/cristilobo/status/1296214510659928066; None; None] 
[2020-08-19 16:47:36+00:00; cristilobo; @FCNatuzaNery Quanto carinho recebi no dia de meu aniversário. Abraços distantes, sorrisos sinceros em vídeos, e presentinhos. De nada posso me queixar! 🙏🏾 sou só gratidão!; 1; 0; 1; 0; https://twitter.com/cristilobo/status/1296126680445091840; None; None] 
[2020-08-19 15:21:02+00:00; cristilobo; @JuliaFinamorM Coisa mais linda! Te amooo; 1; 0; 13; 1; https://twitter.com/cristilobo/status/1296104898535317509; None; None] 
[2020-08-19 03:17:31+00:00; cristilobo; @francocaldas Na loja do Museu de arte Moderna de São Paulo; 1; 0; 1; 0; https://twitter.com/cristilobo/status/1295922816639012864; None; None] 
[2020-08-17 20:56:39+00:00; cristilobo; Vamos lá! Mais dinheiro para o Ministério da Defesa ou para o da Educação? https://t.co/f7AO6ZpGj1; 91; 2; 108; 8; https://twitter.com/cristilobo/status/1295464581851226112; None; https://twitter.com/gcamarotti/status/1295463942840561671] 
[2020-08-14 21:06:25+00:00; cristilobo; Tá no ar! Bora lá? https://t.co/INtM2HjFLI; 113; 5; 135; 7; https://twitter.com/cristilobo/status/1294379877903282177; None; https://twitter.com/gcamarotti/status/1294379598835318784] 
[2020-08-14 04:09:27+00:00; cristilobo; Nem a reação de Bolsonaro à pandemia, quando chamou a Covid de Gripezinha, segurou a recuperação de Bolsonaro. Queda de 10 pontos percentuais na rejeição é muito significativa.; 4931; 285; 3612; 283; https://twitter.com/cristilobo/status/1294123947315912705; None; None] 
[2020-08-14 04:01:56+00:00; cristilobo; A ideia de Paulo Guedes é propor novo programa Social, o Renda Brasil, de R$ 300 se o Congresso aceitar incluir neste programa o Seguro Defeso e Abono salarial de um mínimo pago por ano a quem ganha os  menores salários. Congresso resistia. Vamos ver agora o novo aliado, Centrão.; 22; 6; 82; 2; https://twitter.com/cristilobo/status/1294122054866948096; None; None] 
[2020-08-14 03:59:36+00:00; cristilobo; Auxilio emergencial para os mais pobres e mudança de estilo de Bolsonaro, agora menos beligerante que agrada a classe média, foram os principais motivos da recuperação da aprovação popular dele. Bolsonaro melhorou entre jovens e também mulheres - que a ele resistiam na campanha;; 446; 87; 885; 46; https://twitter.com/cristilobo/status/1294121468041846785; None; None] 
[2020-08-14 03:56:15+00:00; cristilobo; Pesquisa DataFolha mostra forte recuperação da aprovação de Bolsonaro - de 32% para 37% e queda da rejeição de 45% para 34%.  Isso vai aumentar a pressão para que Paulo Guedes proponha valor maior para o auxílio emergencial de R$ 600 pagos hoje e recursos para retomada de obras.; 85; 24; 297; 18; https://twitter.com/cristilobo/status/1294120626349912064; None; None] 
[2020-08-11 20:36:32+00:00; cristilobo; Tô pronta! Vamos lá! https://t.co/ZdAqMh59SD; 34; 2; 158; 1; https://twitter.com/cristilobo/status/1293285192409522176; None; https://twitter.com/gcamarotti/status/1293284963970842625] 
[2020-08-07 17:42:23+00:00; cristilobo; Quanta arrogância! A serenidade do Mateus é exemplar - deve ter pasaado por isso outras vezes na vida.  https://t.co/Hqe4q2WGDA; 203; 189; 2622; 57; https://twitter.com/cristilobo/status/1291791814727434242; None; None] 
[2020-08-05 20:46:53+00:00; cristilobo; @beltraomaria @gugachacra Euuu!!!; 9; 0; 88; 1; https://twitter.com/cristilobo/status/1291113469035589632; None; None] 
[2020-08-04 14:03:54+00:00; cristilobo; Trabalho em boas companhias! https://t.co/qQEiHHmEDX; 164; 20; 626; 10; https://twitter.com/cristilobo/status/1290649665575190534; None; None] 
[2020-08-01 01:35:47+00:00; cristilobo; @camilabomfim @GloboNews @NilsonKlava Maravilhosa!!!; 5; 0; 43; 0; https://twitter.com/cristilobo/status/1289374233932357633; None; None] 
[2020-08-01 01:00:04+00:00; cristilobo; Vamos lá, pessoal. Você não pode perder!!! https://t.co/jLVgRAOHvZ; 118; 4; 158; 3; https://twitter.com/cristilobo/status/1289365243987034114; None; https://twitter.com/GloboNews/status/1289360679607009280] 
[2020-07-31 13:30:36+00:00; cristilobo; André Brandão, presidente do HSBC desde 2012, é o mais cotado para a presidência do Banco do Brasil, vaga desde a saída de Rubens Novaes. Mais detalhes no @g1; 41; 6; 96; 1; https://twitter.com/cristilobo/status/1289191736753913856; None; None] 
[2020-07-31 04:18:08+00:00; cristilobo; O problema de bolsonaristas nas redes sociais é que eles não se restringem ao duelo no campo das ideias. Partem para a intimidação com citação de familiares ou agressão aos críticos, como fazem com @felipeneto. Mas, pelo visto, são sempre os mesmos. Como mostrou o @JornalDaGlobo; 509; 298; 4755; 42; https://twitter.com/cristilobo/status/1289052701037342720; None; None] 
[2020-07-31 03:52:38+00:00; cristilobo; O @felipeneto é o horror dos bolsonaristas porque lida com as redes sociais muito bem, sabe ser crítico com clareza e assertividade. Ele se comunica com um público onde eles não chegam. Adolescentes de hoje serão eleitores em 2022 e muitos já são críticos do governo Bolsonaro.; 4859; 2498; 34196; 427; https://twitter.com/cristilobo/status/1289046287636193280; None; None] 
[2020-07-31 01:00:30+00:00; cristilobo; 👇🏽👇🏽👇🏽 https://t.co/6jZDRi1M0q; 115; 20; 446; 7; https://twitter.com/cristilobo/status/1289002968436613120; None; https://twitter.com/jornalnacional/status/1288995908219211779] 
[2020-07-31 00:09:19+00:00; cristilobo; @carolmorand @RitaLobo @jmamaral84 Capa azul ou capa Amarela, livro da @RitaLobo me salva com receitas rápidas e diferentes das críticas do genro @jmamaral84 de qie aqui só tem escondidinho... e viva Santa Eita da Quarentena #segredosdefamilia; 0; 0; 3; 0; https://twitter.com/cristilobo/status/1288990086424596480; None; None] 
[2020-07-30 23:47:17+00:00; cristilobo; @AndreiaSadi @gpoli @andrizek Ditado popular diz: não leve trabalho pra casa. E digo: nem time de futebol preferência. O sofá fica livre... 😜; 2; 2; 129; 0; https://twitter.com/cristilobo/status/1288984539373752321; None; None] 
[2020-07-30 23:19:08+00:00; cristilobo; @carolmorand @RitaLobo Gente, sou desse grupo... de pesquisa de receitas para execução do @jmamaral84 . Cada dia uma delícia diferente.; 3; 0; 7; 0; https://twitter.com/cristilobo/status/1288977455152271370; None; None] 
[2020-07-30 23:10:40+00:00; cristilobo; Duas gatas... https://t.co/kAHFEv3WxZ; 9; 0; 62; 1; https://twitter.com/cristilobo/status/1288975326001926145; None; https://twitter.com/flaviaol/status/1288677099524575232] 
[2020-07-30 22:47:33+00:00; cristilobo; Na live promovida pelo @JotaInfo defende alterações no projeto sobre Fake News no Congresso: “é um tiro de bazuca pra matar uma formiga “. Mas elogia o marco regulatório da internet do Brasil.  “É preciso pisar no freio e debater”.; 18; 4; 49; 2; https://twitter.com/cristilobo/status/1288969510423277577; None; None] 
[2020-07-30 22:43:41+00:00; cristilobo; Do Youtuber Felipe Neto na live com o ministro Barroso: “não há vergonha em mudar de opinião”.; 245; 52; 1053; 9; https://twitter.com/cristilobo/status/1288968535792812041; None; None] 
[2020-07-30 22:41:06+00:00; cristilobo; Isso mesmo. Ministro Barroso em debate com o Youtuber Felipe Neto. https://t.co/kAxiiwIv89; 51; 11; 203; 2; https://twitter.com/cristilobo/status/1288967886447542274; None; https://twitter.com/JotaInfo/status/1288959854015647745] 
[2020-07-30 21:02:41+00:00; cristilobo; Bora! Nossa jornada está começando. https://t.co/2wWidb8Dw4; 8; 0; 40; 1; https://twitter.com/cristilobo/status/1288943119975710727; None; https://twitter.com/gcamarotti/status/1288942914865958912] 
[2020-07-27 20:20:54+00:00; cristilobo; O "blocão" com 221 deputados acertou o comando da Comissão de Orçamento que começa a trabalhar agora em agosto: DEM indicou o deputado Elmar Nascimento (BA) para relator; e MDB o presidente da Comissão, o senador Márcio Bittar.Sem acordo, poderá haver pressão para mudar o relator; 20; 6; 97; 1; https://twitter.com/cristilobo/status/1287845440231276544; None; None] 
[2020-07-27 20:16:21+00:00; cristilobo; MDB e DEM deixam o "blocão" - bloco de deputados que reuniu também partidos do "Centrão" somando 221 deputados. É um movimento politico importante. É uma reação ao protagonismo de Arthur Lira junto ao governo e pode ter consequência também na sucessão de Maia.; 27; 44; 461; 8; https://twitter.com/cristilobo/status/1287844295538610176; None; None] 
[2020-07-27 17:34:34+00:00; cristilobo; @alesilva_38 Boa tarde, deputada. No post a que a sra se refere não há juízo de valor. Mas sim uma informação sobre  a surpresa de um político tradicional ao constatar a  influência de um YouTube nas opiniões de sua filha adolescente. A senhora não deve ter lido corretamente.; 17; 0; 2; 0; https://twitter.com/cristilobo/status/1287803580020412417; None; None] 
[2020-07-27 01:56:39+00:00; cristilobo; A irritação dos defensores do presidente com a atuação de @felipeneto é ainda maior porque ele atua fortemente nas redes sociais onde o grupo bolsonarista pensava dominar. https://t.co/ImGDq8Owx5; 959; 239; 3752; 58; https://twitter.com/cristilobo/status/1287567546674229255; None; https://twitter.com/andrefran/status/1287553562545774601] 
[2020-07-27 01:47:28+00:00; cristilobo; @sampaio19091 @andrefran @felipeneto Mas terá daqui a dois anos.; 23; 0; 82; 0; https://twitter.com/cristilobo/status/1287565233322696706; None; None] 
[2020-07-27 01:34:15+00:00; cristilobo; Isso mesmo. Aí está o ponto político. @felipeneto defende a democracia e isso, como vc diz, naturalmente, o transforma em crítico ao presidente. Isso se dá no território em que Bolsonaro se fortaleceu - as redes sociais. E aqui, nas redes sociais, ele fala com a juventude. https://t.co/yoE2ARv3p4; 255; 94; 1607; 18; https://twitter.com/cristilobo/status/1287561907323523074; None; https://twitter.com/andrefran/status/1287551942416191488] 
