2020-06-23 22:43:48+00:00; marceloadnet0; Ana Maria, Djokovid, Weintraub e Wassef. Completo e grátis no @globoplay https://globoplay.globo.com/v/8646784/; 23501; 751; ; ; https://www.instagram.com/p/CBy3TDThWoq/
2020-06-22 23:28:40+00:00; marceloadnet0; #SintaSeEmCasa completo e grátis no @globoplay; 41788; 1989; ; ; https://www.instagram.com/p/CBwXuZNBmzr/
2020-06-21 16:42:21+00:00; marceloadnet0; ; 34817; 1683; ; ; https://www.instagram.com/p/CBtEfsPhS-1/
2020-06-20 01:17:49+00:00; marceloadnet0; Canção de nossa autoria para fechar com chave de ouro essa edição especial! GRATIDÃO EDU pela mensagem de esperança e paz!; 30776; 1285; ; ; https://www.instagram.com/p/CBo1zyCh622/
2020-06-19 23:22:01+00:00; marceloadnet0; A personalidade tocantinense da década chegou junto nesse especial. Não merece apenas Palmas mas o Jalapão inteiro! Todos os domingos no @showdavida tem #ComoLidar; 24375; 684; ; ; https://www.instagram.com/p/CBooe2gh82w/
2020-06-19 23:02:33+00:00; marceloadnet0; Hoje o programa é especial. O @fabioporchat me ligou ontem e deu uma ideia muito legal para sua participação. Obrigado, amigo! Daí surgiu essa edição especial pra comemorar o quinquagésimo programa. Completo e grátis no @globoplay Teve também a participação do @paulovieira.oficial e do @sterblitch daqui a pouco por aqui 👀; 41685; 1830; ; ; https://www.instagram.com/p/CBomHf8BWnT/
2020-06-18 22:20:24+00:00; marceloadnet0; Queiroz preso. Reações de Lula, Paes, Ciro, Marina e Jair. Completo e grátis no @globoplay; 53295; 4292; ; ; https://www.instagram.com/p/CBl8hixljdR/
2020-06-18 14:37:58+00:00; marceloadnet0; Imagens do momento em que Queiroz foi encontrado!; 43849; 2443; ; ; https://www.instagram.com/p/CBlH4S4hjqX/
2020-06-17 22:38:18+00:00; marceloadnet0; Episódio completo e grátis no @globoplay link na bio; 17350; 1396; ; ; https://www.instagram.com/p/CBjZ7RvhWI0/
2020-06-16 22:38:28+00:00; marceloadnet0; Campeonato Contaminoca HOJE TEM GEL DO GABIGEL! 1 a 0, placar Clorocred! E o povo que se Fferj! Episódio completo e grátis no @globoplay link na bio; 19005; 662; ; ; https://www.instagram.com/p/CBg1IWjhHYX/
2020-06-15 23:44:13+00:00; marceloadnet0; Brasil Visto de Cima em Mamaqui no #SintaSeEmCasa de hoje, completo e grátis pelo link na bio; 35601; 1296; ; ; https://www.instagram.com/p/CBeX8pkFC-n/
2020-06-15 23:13:53+00:00; marceloadnet0; Daqui a pouquinho tem #SintaSeEmCasa inédito okok; 10099; 184; ; ; https://www.instagram.com/p/CBeUfz0loBs/
2020-06-12 22:57:46+00:00; marceloadnet0; #SintaSeEmCasa de hoje completo e grátis no @globoplay link na bio; 19016; 453; ; ; https://www.instagram.com/p/CBWkJPrlRAj/
2020-06-12 21:17:00+00:00; marceloadnet0; Ela é companheira de toda hora, minha paixão, assistente de câmera, de figurino, de caracterização, de criação e do dia a dia. Obrigado, meu amor ❤️ @eupatriciacardoso; 43401; 312; ; ; https://www.instagram.com/p/CBWY0KsjiHd/
2020-06-11 22:38:14+00:00; marceloadnet0; Episódio completo e grátis no @globoplay link na bio; 59439; 5327; ; ; https://www.instagram.com/p/CBT9LTdhBaD/
2020-06-10 23:23:09+00:00; marceloadnet0; Pra assistir #SintaSeEmCasa completo e grátis acesse o @globoplay Link na bio; 21056; 1228; ; ; https://www.instagram.com/p/CBRdhIrBRvj/
2020-06-10 00:53:12+00:00; marceloadnet0; CARNANEVE em Salvador na MTV há 10 anos; 32713; 1691; ; ; https://www.instagram.com/p/CBPDFukBikB/
2020-06-09 21:36:39+00:00; marceloadnet0; #SintaSeEmCasa completos e grátis no @globoplay link na bio; 49043; 2926; ; ; https://www.instagram.com/p/CBOsihcBV4e/
2020-06-08 22:00:02+00:00; marceloadnet0; Link para o ep completo no @globoplay na bio do perfil; 33000; 1437; ; ; https://www.instagram.com/p/CBMKdTIhyoA/
2020-06-05 23:55:56+00:00; marceloadnet0; Episódio de hoje completo e grátis no @globoplay link na bio; 39454; 1688; ; ; https://www.instagram.com/p/CBEpVQfB1iv/
2020-06-04 22:51:26+00:00; marceloadnet0; Blogueira na quarentena do #sintaseemcasa; 39347; 2485; ; ; https://www.instagram.com/p/CBB9DqsBlTk/
2020-06-03 22:56:38+00:00; marceloadnet0; Churchill, Jovem Patriota e Aras Keto; 19490; 1176; ; ; https://www.instagram.com/p/CA_Y0vJh5Jd/
2020-06-02 23:00:12+00:00; marceloadnet0; #SintaSeEmCasa no @globoplay; 23789; 1292; ; ; https://www.instagram.com/p/CA80QTqBl3k/
2020-06-02 21:27:03+00:00; marceloadnet0; #blackouttuesday; 19529; 91; ; ; https://www.instagram.com/p/CA8qBGJhEw7/
2020-06-01 22:35:40+00:00; marceloadnet0; Gratuito no @globoplay; 25450; 1557; ; ; https://www.instagram.com/p/CA6MkWyhPPB/
2020-05-30 00:27:06+00:00; marceloadnet0; #SintaSeEmCasa no @globoplay; 13907; 891; ; ; https://www.instagram.com/p/CAyrKTlBU27/
2020-05-28 22:41:01+00:00; marceloadnet0; @luisrobertoreal , @botafogo , @fluminensefc , @vascodagama e @flamengo no #SintaSeEmCasa pelo @globoplay; 8735; 387; ; ; https://www.instagram.com/p/CAv52j4B2eS/
